trial,efficiency,steps,coverage_pct,agents,repulsion_g,momentum,scan_radius
1,2.725714,35,95.40,300,1.5,0.99,2
2,2.644444,36,95.20,300,1.5,0.99,2
3,2.642222,36,95.12,300,1.5,0.99,2
4,2.581622,37,95.52,300,1.5,0.99,2
5,2.716571,35,95.08,300,1.5,0.99,2
6,2.717714,35,95.12,300,1.5,0.99,2
7,2.638889,36,95.00,300,1.5,0.99,2
8,2.715429,35,95.04,300,1.5,0.99,2
9,2.642222,36,95.12,300,1.5,0.99,2
10,2.725714,35,95.40,300,1.5,0.99,2
11,2.645556,36,95.24,300,1.5,0.99,2
12,2.643333,36,95.16,300,1.5,0.99,2
13,2.795294,34,95.04,300,1.5,0.99,2
14,2.568649,37,95.04,300,1.5,0.99,2
15,2.324878,41,95.32,300,1.5,0.99,2
16,2.640000,36,95.04,300,1.5,0.99,2
17,2.716571,35,95.08,300,1.5,0.99,2
18,2.723429,35,95.32,300,1.5,0.99,2
19,2.717714,35,95.12,300,1.5,0.99,2
20,2.567568,37,95.00,300,1.5,0.99,2
21,2.645556,36,95.24,300,1.5,0.99,2
22,2.574054,37,95.24,300,1.5,0.99,2
23,2.450256,39,95.56,300,1.5,0.99,2
24,2.574054,37,95.24,300,1.5,0.99,2
25,2.642222,36,95.12,300,1.5,0.99,2
26,2.722286,35,95.28,300,1.5,0.99,2
27,2.652222,36,95.48,300,1.5,0.99,2
28,2.578378,37,95.40,300,1.5,0.99,2
29,2.878788,33,95.00,300,1.5,0.99,2
30,2.503158,38,95.12,300,1.5,0.99,2
31,2.650000,36,95.40,300,1.5,0.99,2
32,2.797647,34,95.12,300,1.5,0.99,2
33,2.795294,34,95.04,300,1.5,0.99,2
34,2.720000,35,95.20,300,1.5,0.99,2
35,2.888485,33,95.32,300,1.5,0.99,2
36,2.725714,35,95.40,300,1.5,0.99,2
37,2.644444,36,95.20,300,1.5,0.99,2
38,2.508421,38,95.32,300,1.5,0.99,2
39,2.717714,35,95.12,300,1.5,0.99,2
40,2.972500,32,95.12,300,1.5,0.99,2
41,2.581622,37,95.52,300,1.5,0.99,2
42,2.888485,33,95.32,300,1.5,0.99,2
43,2.801176,34,95.24,300,1.5,0.99,2
44,2.796471,34,95.08,300,1.5,0.99,2
45,2.795294,34,95.04,300,1.5,0.99,2
46,2.581622,37,95.52,300,1.5,0.99,2
47,2.797647,34,95.12,300,1.5,0.99,2
48,2.568649,37,95.04,300,1.5,0.99,2
49,2.647778,36,95.32,300,1.5,0.99,2
50,2.646667,36,95.28,300,1.5,0.99,2
51,2.582703,37,95.56,300,1.5,0.99,2
52,2.641111,36,95.08,300,1.5,0.99,2
53,2.714286,35,95.00,300,1.5,0.99,2
54,2.720000,35,95.20,300,1.5,0.99,2
55,2.644444,36,95.20,300,1.5,0.99,2
56,2.803529,34,95.32,300,1.5,0.99,2
57,2.720000,35,95.20,300,1.5,0.99,2
58,2.718857,35,95.16,300,1.5,0.99,2
59,2.796471,34,95.08,300,1.5,0.99,2
60,2.810588,34,95.56,300,1.5,0.99,2
61,2.720000,35,95.20,300,1.5,0.99,2
62,2.647778,36,95.32,300,1.5,0.99,2
63,2.721143,35,95.24,300,1.5,0.99,2
64,2.716571,35,95.08,300,1.5,0.99,2
65,2.717714,35,95.12,300,1.5,0.99,2
66,2.643333,36,95.16,300,1.5,0.99,2
67,2.647778,36,95.32,300,1.5,0.99,2
68,2.802353,34,95.28,300,1.5,0.99,2
69,2.720000,35,95.20,300,1.5,0.99,2
