trial,efficiency,steps,coverage_pct,agents,repulsion_g,momentum,scan_radius
1,2.572973,37,95.20,300,1.5,0.99,9
2,2.641111,36,95.08,300,1.5,0.99,9
3,2.794118,34,95.00,300,1.5,0.99,9
4,2.972500,32,95.12,300,1.5,0.99,9
5,2.808235,34,95.48,300,1.5,0.99,9
6,2.714286,35,95.00,300,1.5,0.99,9
7,2.578378,37,95.40,300,1.5,0.99,9
8,2.570811,37,95.12,300,1.5,0.99,9
9,2.810588,34,95.56,300,1.5,0.99,9
10,2.796471,34,95.08,300,1.5,0.99,9
11,2.724571,35,95.36,300,1.5,0.99,9
12,2.570811,37,95.12,300,1.5,0.99,9
13,2.798824,34,95.16,300,1.5,0.99,9
14,2.645556,36,95.24,300,1.5,0.99,9
15,2.715429,35,95.04,300,1.5,0.99,9
16,2.640000,36,95.04,300,1.5,0.99,9
17,2.651111,36,95.44,300,1.5,0.99,9
18,2.801176,34,95.24,300,1.5,0.99,9
19,2.642222,36,95.12,300,1.5,0.99,9
20,2.726857,35,95.44,300,1.5,0.99,9
21,2.717714,35,95.12,300,1.5,0.99,9
22,2.579459,37,95.44,300,1.5,0.99,9
23,2.568649,37,95.04,300,1.5,0.99,9
24,2.723429,35,95.32,300,1.5,0.99,9
25,2.717714,35,95.12,300,1.5,0.99,9
26,2.645556,36,95.24,300,1.5,0.99,9
27,2.512632,38,95.48,300,1.5,0.99,9
28,2.722286,35,95.28,300,1.5,0.99,9
29,2.720000,35,95.20,300,1.5,0.99,9
30,2.506316,38,95.24,300,1.5,0.99,9
31,2.718857,35,95.16,300,1.5,0.99,9
32,2.724571,35,95.36,300,1.5,0.99,9
33,2.801176,34,95.24,300,1.5,0.99,9
34,2.724571,35,95.36,300,1.5,0.99,9
35,2.809412,34,95.52,300,1.5,0.99,9
36,2.802353,34,95.28,300,1.5,0.99,9
37,2.805882,34,95.40,300,1.5,0.99,9
38,2.794118,34,95.00,300,1.5,0.99,9
39,2.576216,37,95.32,300,1.5,0.99,9
40,2.895758,33,95.56,300,1.5,0.99,9
41,2.716571,35,95.08,300,1.5,0.99,9
42,2.572973,37,95.20,300,1.5,0.99,9
43,2.720000,35,95.20,300,1.5,0.99,9
44,2.796471,34,95.08,300,1.5,0.99,9
45,2.718857,35,95.16,300,1.5,0.99,9
46,2.646667,36,95.28,300,1.5,0.99,9
47,2.880000,33,95.04,300,1.5,0.99,9
48,2.722286,35,95.28,300,1.5,0.99,9
49,2.651111,36,95.44,300,1.5,0.99,9
50,2.714286,35,95.00,300,1.5,0.99,9
51,2.802353,34,95.28,300,1.5,0.99,9
52,2.503158,38,95.12,300,1.5,0.99,9
53,2.894545,33,95.52,300,1.5,0.99,9
54,2.715429,35,95.04,300,1.5,0.99,9
55,2.795294,34,95.04,300,1.5,0.99,9
56,2.645556,36,95.24,300,1.5,0.99,9
57,2.505263,38,95.20,300,1.5,0.99,9
58,2.576216,37,95.32,300,1.5,0.99,9
59,2.640000,36,95.04,300,1.5,0.99,9
60,2.720000,35,95.20,300,1.5,0.99,9
61,2.718857,35,95.16,300,1.5,0.99,9
62,2.648889,36,95.36,300,1.5,0.99,9
63,2.796471,34,95.08,300,1.5,0.99,9
64,2.514737,38,95.56,300,1.5,0.99,9
65,2.567568,37,95.00,300,1.5,0.99,9
66,2.650000,36,95.40,300,1.5,0.99,9
67,2.797647,34,95.12,300,1.5,0.99,9
68,2.721143,35,95.24,300,1.5,0.99,9
69,2.572973,37,95.20,300,1.5,0.99,9
70,2.567568,37,95.00,300,1.5,0.99,9
71,2.579459,37,95.44,300,1.5,0.99,9
72,2.717714,35,95.12,300,1.5,0.99,9
73,2.794118,34,95.00,300,1.5,0.99,9
74,2.714286,35,95.00,300,1.5,0.99,9
75,2.578378,37,95.40,300,1.5,0.99,9
76,2.723429,35,95.32,300,1.5,0.99,9
77,2.718857,35,95.16,300,1.5,0.99,9
78,2.796471,34,95.08,300,1.5,0.99,9
79,2.796471,34,95.08,300,1.5,0.99,9
80,2.640000,36,95.04,300,1.5,0.99,9
81,2.718857,35,95.16,300,1.5,0.99,9
82,2.653333,36,95.52,300,1.5,0.99,9
83,2.797647,34,95.12,300,1.5,0.99,9
84,2.800000,34,95.20,300,1.5,0.99,9
85,2.888485,33,95.32,300,1.5,0.99,9
86,2.642222,36,95.12,300,1.5,0.99,9
87,2.729143,35,95.52,300,1.5,0.99,9
88,2.644444,36,95.20,300,1.5,0.99,9
89,2.715429,35,95.04,300,1.5,0.99,9
90,2.795294,34,95.04,300,1.5,0.99,9
91,2.721143,35,95.24,300,1.5,0.99,9
92,2.642222,36,95.12,300,1.5,0.99,9
93,2.648889,36,95.36,300,1.5,0.99,9
94,2.641111,36,95.08,300,1.5,0.99,9
95,2.650000,36,95.40,300,1.5,0.99,9
96,2.721143,35,95.24,300,1.5,0.99,9
97,2.644444,36,95.20,300,1.5,0.99,9
98,2.724571,35,95.36,300,1.5,0.99,9
99,2.797647,34,95.12,300,1.5,0.99,9
100,2.797647,34,95.12,300,1.5,0.99,9
101,2.723429,35,95.32,300,1.5,0.99,9
102,2.807059,34,95.44,300,1.5,0.99,9
103,2.723429,35,95.32,300,1.5,0.99,9
104,2.501053,38,95.04,300,1.5,0.99,9
105,2.650000,36,95.40,300,1.5,0.99,9
106,2.651111,36,95.44,300,1.5,0.99,9
107,2.718857,35,95.16,300,1.5,0.99,9
108,2.794118,34,95.00,300,1.5,0.99,9
109,2.801176,34,95.24,300,1.5,0.99,9
110,2.722286,35,95.28,300,1.5,0.99,9
111,2.638889,36,95.00,300,1.5,0.99,9
112,2.642222,36,95.12,300,1.5,0.99,9
113,2.795294,34,95.04,300,1.5,0.99,9
114,2.802353,34,95.28,300,1.5,0.99,9
115,2.651111,36,95.44,300,1.5,0.99,9
116,2.716571,35,95.08,300,1.5,0.99,9
117,2.723429,35,95.32,300,1.5,0.99,9
118,2.720000,35,95.20,300,1.5,0.99,9
119,2.648889,36,95.36,300,1.5,0.99,9
120,2.720000,35,95.20,300,1.5,0.99,9
121,2.716571,35,95.08,300,1.5,0.99,9
122,2.801176,34,95.24,300,1.5,0.99,9
123,2.722286,35,95.28,300,1.5,0.99,9
124,2.568649,37,95.04,300,1.5,0.99,9
125,2.507368,38,95.28,300,1.5,0.99,9
126,2.722286,35,95.28,300,1.5,0.99,9
127,2.723429,35,95.32,300,1.5,0.99,9
128,2.717714,35,95.12,300,1.5,0.99,9
129,2.503158,38,95.12,300,1.5,0.99,9
130,2.723429,35,95.32,300,1.5,0.99,9
131,2.802353,34,95.28,300,1.5,0.99,9
132,2.648889,36,95.36,300,1.5,0.99,9
133,2.638889,36,95.00,300,1.5,0.99,9
134,2.638889,36,95.00,300,1.5,0.99,9
135,2.638889,36,95.00,300,1.5,0.99,9
136,2.797647,34,95.12,300,1.5,0.99,9
137,2.572973,37,95.20,300,1.5,0.99,9
138,2.722286,35,95.28,300,1.5,0.99,9
139,2.575135,37,95.28,300,1.5,0.99,9
140,2.733714,35,95.68,300,1.5,0.99,9
141,2.718857,35,95.16,300,1.5,0.99,9
142,2.507368,38,95.28,300,1.5,0.99,9
143,2.714286,35,95.00,300,1.5,0.99,9
144,2.644444,36,95.20,300,1.5,0.99,9
145,2.644444,36,95.20,300,1.5,0.99,9
146,2.887273,33,95.28,300,1.5,0.99,9
147,2.584865,37,95.64,300,1.5,0.99,9
148,2.794118,34,95.00,300,1.5,0.99,9
149,2.795294,34,95.04,300,1.5,0.99,9
150,2.726857,35,95.44,300,1.5,0.99,9
151,2.576216,37,95.32,300,1.5,0.99,9
152,2.716571,35,95.08,300,1.5,0.99,9
153,2.716571,35,95.08,300,1.5,0.99,9
154,2.886061,33,95.24,300,1.5,0.99,9
155,2.640000,36,95.04,300,1.5,0.99,9
156,2.797647,34,95.12,300,1.5,0.99,9
157,2.803529,34,95.32,300,1.5,0.99,9
158,2.717714,35,95.12,300,1.5,0.99,9
159,2.720000,35,95.20,300,1.5,0.99,9
160,2.721143,35,95.24,300,1.5,0.99,9
161,2.572973,37,95.20,300,1.5,0.99,9
162,2.721143,35,95.24,300,1.5,0.99,9
163,2.794118,34,95.00,300,1.5,0.99,9
164,2.888485,33,95.32,300,1.5,0.99,9
165,2.574054,37,95.24,300,1.5,0.99,9
166,2.882424,33,95.12,300,1.5,0.99,9
167,2.655556,36,95.60,300,1.5,0.99,9
168,2.645556,36,95.24,300,1.5,0.99,9
169,2.646667,36,95.28,300,1.5,0.99,9
170,2.726857,35,95.44,300,1.5,0.99,9
171,2.641111,36,95.08,300,1.5,0.99,9
172,2.798824,34,95.16,300,1.5,0.99,9
173,2.796471,34,95.08,300,1.5,0.99,9
174,2.718857,35,95.16,300,1.5,0.99,9
175,2.643333,36,95.16,300,1.5,0.99,9
176,2.716571,35,95.08,300,1.5,0.99,9
177,2.715429,35,95.04,300,1.5,0.99,9
178,2.721143,35,95.24,300,1.5,0.99,9
179,2.725714,35,95.40,300,1.5,0.99,9
180,2.577297,37,95.36,300,1.5,0.99,9
181,2.716571,35,95.08,300,1.5,0.99,9
182,2.714286,35,95.00,300,1.5,0.99,9
183,2.647778,36,95.32,300,1.5,0.99,9
184,2.647778,36,95.32,300,1.5,0.99,9
185,2.642222,36,95.12,300,1.5,0.99,9
186,2.720000,35,95.20,300,1.5,0.99,9
187,2.795294,34,95.04,300,1.5,0.99,9
188,2.722286,35,95.28,300,1.5,0.99,9
189,2.570811,37,95.12,300,1.5,0.99,9
190,2.724571,35,95.36,300,1.5,0.99,9
191,2.645556,36,95.24,300,1.5,0.99,9
192,2.570811,37,95.12,300,1.5,0.99,9
193,2.575135,37,95.28,300,1.5,0.99,9
194,2.892121,33,95.44,300,1.5,0.99,9
195,2.723429,35,95.32,300,1.5,0.99,9
196,2.715429,35,95.04,300,1.5,0.99,9
197,2.714286,35,95.00,300,1.5,0.99,9
198,2.731429,35,95.60,300,1.5,0.99,9
199,2.644444,36,95.20,300,1.5,0.99,9
200,2.572973,37,95.20,300,1.5,0.99,9
201,2.571892,37,95.16,300,1.5,0.99,9
202,2.577297,37,95.36,300,1.5,0.99,9
203,2.720000,35,95.20,300,1.5,0.99,9
204,2.725714,35,95.40,300,1.5,0.99,9
205,2.797647,34,95.12,300,1.5,0.99,9
206,2.572973,37,95.20,300,1.5,0.99,9
207,2.642222,36,95.12,300,1.5,0.99,9
208,2.881212,33,95.08,300,1.5,0.99,9
209,2.724571,35,95.36,300,1.5,0.99,9
210,2.503158,38,95.12,300,1.5,0.99,9
211,2.645556,36,95.24,300,1.5,0.99,9
