trial,efficiency,steps,coverage_pct,agents,repulsion_g,momentum,scan_radius
1,2.644444,36,95.20,300,1.5,0.99,8
2,2.572973,37,95.20,300,1.5,0.99,8
3,2.644444,36,95.20,300,1.5,0.99,8
4,2.640000,36,95.04,300,1.5,0.99,8
5,2.715429,35,95.04,300,1.5,0.99,8
6,2.720000,35,95.20,300,1.5,0.99,8
7,2.717714,35,95.12,300,1.5,0.99,8
8,2.888485,33,95.32,300,1.5,0.99,8
9,2.718857,35,95.16,300,1.5,0.99,8
10,2.650000,36,95.40,300,1.5,0.99,8
11,2.722286,35,95.28,300,1.5,0.99,8
12,2.579459,37,95.44,300,1.5,0.99,8
13,2.714286,35,95.00,300,1.5,0.99,8
14,2.714286,35,95.00,300,1.5,0.99,8
15,2.716571,35,95.08,300,1.5,0.99,8
16,2.807059,34,95.44,300,1.5,0.99,8
17,2.721143,35,95.24,300,1.5,0.99,8
18,2.715429,35,95.04,300,1.5,0.99,8
19,2.653333,36,95.52,300,1.5,0.99,8
20,2.575135,37,95.28,300,1.5,0.99,8
21,2.648889,36,95.36,300,1.5,0.99,8
22,2.579459,37,95.44,300,1.5,0.99,8
23,2.638889,36,95.00,300,1.5,0.99,8
24,2.881212,33,95.08,300,1.5,0.99,8
25,2.803529,34,95.32,300,1.5,0.99,8
26,2.724571,35,95.36,300,1.5,0.99,8
27,2.878788,33,95.00,300,1.5,0.99,8
28,2.797647,34,95.12,300,1.5,0.99,8
29,2.646667,36,95.28,300,1.5,0.99,8
30,2.645556,36,95.24,300,1.5,0.99,8
31,2.569730,37,95.08,300,1.5,0.99,8
32,2.576216,37,95.32,300,1.5,0.99,8
33,2.716571,35,95.08,300,1.5,0.99,8
34,2.503158,38,95.12,300,1.5,0.99,8
35,2.720000,35,95.20,300,1.5,0.99,8
36,2.794118,34,95.00,300,1.5,0.99,8
37,2.501053,38,95.04,300,1.5,0.99,8
38,2.645556,36,95.24,300,1.5,0.99,8
39,2.641111,36,95.08,300,1.5,0.99,8
40,2.972500,32,95.12,300,1.5,0.99,8
41,2.714286,35,95.00,300,1.5,0.99,8
42,2.715429,35,95.04,300,1.5,0.99,8
43,2.718857,35,95.16,300,1.5,0.99,8
44,2.651111,36,95.44,300,1.5,0.99,8
45,2.651111,36,95.44,300,1.5,0.99,8
46,2.569730,37,95.08,300,1.5,0.99,8
47,2.638889,36,95.00,300,1.5,0.99,8
48,2.515789,38,95.60,300,1.5,0.99,8
49,2.801176,34,95.24,300,1.5,0.99,8
50,2.716571,35,95.08,300,1.5,0.99,8
51,2.715429,35,95.04,300,1.5,0.99,8
52,2.714286,35,95.00,300,1.5,0.99,8
53,2.645556,36,95.24,300,1.5,0.99,8
54,2.718857,35,95.16,300,1.5,0.99,8
55,2.798824,34,95.16,300,1.5,0.99,8
56,2.883636,33,95.16,300,1.5,0.99,8
57,2.800000,34,95.20,300,1.5,0.99,8
58,2.652222,36,95.48,300,1.5,0.99,8
59,2.805882,34,95.40,300,1.5,0.99,8
60,2.655556,36,95.60,300,1.5,0.99,8
61,2.572973,37,95.20,300,1.5,0.99,8
62,2.717714,35,95.12,300,1.5,0.99,8
63,2.579459,37,95.44,300,1.5,0.99,8
64,2.504211,38,95.16,300,1.5,0.99,8
65,2.445128,39,95.36,300,1.5,0.99,8
66,2.720000,35,95.20,300,1.5,0.99,8
67,2.648889,36,95.36,300,1.5,0.99,8
68,2.720000,35,95.20,300,1.5,0.99,8
69,2.723429,35,95.32,300,1.5,0.99,8
70,2.715429,35,95.04,300,1.5,0.99,8
71,2.717714,35,95.12,300,1.5,0.99,8
72,2.718857,35,95.16,300,1.5,0.99,8
73,2.881212,33,95.08,300,1.5,0.99,8
74,2.718857,35,95.16,300,1.5,0.99,8
75,2.720000,35,95.20,300,1.5,0.99,8
76,2.643333,36,95.16,300,1.5,0.99,8
77,2.646667,36,95.28,300,1.5,0.99,8
78,2.796471,34,95.08,300,1.5,0.99,8
79,2.642222,36,95.12,300,1.5,0.99,8
80,2.716571,35,95.08,300,1.5,0.99,8
81,2.805882,34,95.40,300,1.5,0.99,8
82,2.721143,35,95.24,300,1.5,0.99,8
83,2.798824,34,95.16,300,1.5,0.99,8
84,2.641111,36,95.08,300,1.5,0.99,8
85,2.518947,38,95.72,300,1.5,0.99,8
86,2.576216,37,95.32,300,1.5,0.99,8
87,2.646667,36,95.28,300,1.5,0.99,8
88,2.725714,35,95.40,300,1.5,0.99,8
89,2.653333,36,95.52,300,1.5,0.99,8
90,2.804706,34,95.36,300,1.5,0.99,8
91,2.718857,35,95.16,300,1.5,0.99,8
92,2.644444,36,95.20,300,1.5,0.99,8
93,2.794118,34,95.00,300,1.5,0.99,8
94,2.643333,36,95.16,300,1.5,0.99,8
95,2.722286,35,95.28,300,1.5,0.99,8
96,2.643333,36,95.16,300,1.5,0.99,8
97,2.794118,34,95.00,300,1.5,0.99,8
98,2.800000,34,95.20,300,1.5,0.99,8
99,2.642222,36,95.12,300,1.5,0.99,8
100,2.572973,37,95.20,300,1.5,0.99,8
101,2.888485,33,95.32,300,1.5,0.99,8
102,2.723429,35,95.32,300,1.5,0.99,8
103,2.642222,36,95.12,300,1.5,0.99,8
104,2.724571,35,95.36,300,1.5,0.99,8
105,2.638889,36,95.00,300,1.5,0.99,8
106,2.798824,34,95.16,300,1.5,0.99,8
107,2.802353,34,95.28,300,1.5,0.99,8
108,2.722286,35,95.28,300,1.5,0.99,8
109,2.643333,36,95.16,300,1.5,0.99,8
110,2.795294,34,95.04,300,1.5,0.99,8
111,2.645556,36,95.24,300,1.5,0.99,8
112,2.887273,33,95.28,300,1.5,0.99,8
113,2.796471,34,95.08,300,1.5,0.99,8
114,2.720000,35,95.20,300,1.5,0.99,8
115,2.642222,36,95.12,300,1.5,0.99,8
116,2.724571,35,95.36,300,1.5,0.99,8
117,2.642222,36,95.12,300,1.5,0.99,8
118,2.728000,35,95.48,300,1.5,0.99,8
119,2.714286,35,95.00,300,1.5,0.99,8
120,2.581622,37,95.52,300,1.5,0.99,8
121,2.646667,36,95.28,300,1.5,0.99,8
122,2.798824,34,95.16,300,1.5,0.99,8
123,2.568649,37,95.04,300,1.5,0.99,8
124,2.646667,36,95.28,300,1.5,0.99,8
125,2.567568,37,95.00,300,1.5,0.99,8
126,2.647778,36,95.32,300,1.5,0.99,8
127,2.721143,35,95.24,300,1.5,0.99,8
128,2.717714,35,95.12,300,1.5,0.99,8
129,2.640000,36,95.04,300,1.5,0.99,8
130,2.643333,36,95.16,300,1.5,0.99,8
