trial,efficiency,steps,coverage_pct,agents,repulsion_g,momentum,scan_radius
1,2.797647,34,95.12,300,1.5,0.99,7
2,2.796471,34,95.08,300,1.5,0.99,7
3,2.883636,33,95.16,300,1.5,0.99,7
4,2.728000,35,95.48,300,1.5,0.99,7
5,2.506316,38,95.24,300,1.5,0.99,7
6,2.720000,35,95.20,300,1.5,0.99,7
7,2.647778,36,95.32,300,1.5,0.99,7
8,2.802353,34,95.28,300,1.5,0.99,7
9,2.722286,35,95.28,300,1.5,0.99,7
10,2.570811,37,95.12,300,1.5,0.99,7
11,2.717714,35,95.12,300,1.5,0.99,7
12,2.715429,35,95.04,300,1.5,0.99,7
13,2.801176,34,95.24,300,1.5,0.99,7
14,2.720000,35,95.20,300,1.5,0.99,7
15,2.568649,37,95.04,300,1.5,0.99,7
16,2.798824,34,95.16,300,1.5,0.99,7
17,2.716571,35,95.08,300,1.5,0.99,7
18,2.720000,35,95.20,300,1.5,0.99,7
19,2.718857,35,95.16,300,1.5,0.99,7
20,2.651111,36,95.44,300,1.5,0.99,7
21,2.645556,36,95.24,300,1.5,0.99,7
22,2.716571,35,95.08,300,1.5,0.99,7
23,2.715429,35,95.04,300,1.5,0.99,7
24,2.720000,35,95.20,300,1.5,0.99,7
25,2.642222,36,95.12,300,1.5,0.99,7
26,2.514737,38,95.56,300,1.5,0.99,7
27,2.801176,34,95.24,300,1.5,0.99,7
28,2.887273,33,95.28,300,1.5,0.99,7
29,2.578378,37,95.40,300,1.5,0.99,7
30,2.640000,36,95.04,300,1.5,0.99,7
31,2.715429,35,95.04,300,1.5,0.99,7
32,2.797647,34,95.12,300,1.5,0.99,7
33,2.720000,35,95.20,300,1.5,0.99,7
34,2.642222,36,95.12,300,1.5,0.99,7
35,2.643333,36,95.16,300,1.5,0.99,7
36,2.971250,32,95.08,300,1.5,0.99,7
37,2.638889,36,95.00,300,1.5,0.99,7
38,2.653333,36,95.52,300,1.5,0.99,7
39,2.647778,36,95.32,300,1.5,0.99,7
40,2.574054,37,95.24,300,1.5,0.99,7
41,2.571892,37,95.16,300,1.5,0.99,7
42,2.805882,34,95.40,300,1.5,0.99,7
43,2.730286,35,95.56,300,1.5,0.99,7
44,2.641111,36,95.08,300,1.5,0.99,7
45,2.577297,37,95.36,300,1.5,0.99,7
46,2.646667,36,95.28,300,1.5,0.99,7
47,2.646667,36,95.28,300,1.5,0.99,7
48,2.577297,37,95.36,300,1.5,0.99,7
49,2.795294,34,95.04,300,1.5,0.99,7
50,2.715429,35,95.04,300,1.5,0.99,7
51,2.660000,36,95.76,300,1.5,0.99,7
52,2.724571,35,95.36,300,1.5,0.99,7
53,2.714286,35,95.00,300,1.5,0.99,7
54,2.644444,36,95.20,300,1.5,0.99,7
55,2.502105,38,95.08,300,1.5,0.99,7
56,2.504211,38,95.16,300,1.5,0.99,7
57,2.795294,34,95.04,300,1.5,0.99,7
58,2.503158,38,95.12,300,1.5,0.99,7
59,2.796471,34,95.08,300,1.5,0.99,7
60,2.640000,36,95.04,300,1.5,0.99,7
61,2.641111,36,95.08,300,1.5,0.99,7
62,2.720000,35,95.20,300,1.5,0.99,7
63,2.716571,35,95.08,300,1.5,0.99,7
64,2.642222,36,95.12,300,1.5,0.99,7
65,2.715429,35,95.04,300,1.5,0.99,7
66,2.570811,37,95.12,300,1.5,0.99,7
67,2.647778,36,95.32,300,1.5,0.99,7
68,2.572973,37,95.20,300,1.5,0.99,7
69,2.572973,37,95.20,300,1.5,0.99,7
70,2.726857,35,95.44,300,1.5,0.99,7
71,2.644444,36,95.20,300,1.5,0.99,7
72,2.648889,36,95.36,300,1.5,0.99,7
73,2.723429,35,95.32,300,1.5,0.99,7
74,2.644444,36,95.20,300,1.5,0.99,7
75,2.638889,36,95.00,300,1.5,0.99,7
76,2.638889,36,95.00,300,1.5,0.99,7
77,2.722286,35,95.28,300,1.5,0.99,7
78,2.638889,36,95.00,300,1.5,0.99,7
79,2.646667,36,95.28,300,1.5,0.99,7
80,2.646667,36,95.28,300,1.5,0.99,7
81,2.650000,36,95.40,300,1.5,0.99,7
82,2.725714,35,95.40,300,1.5,0.99,7
83,2.574054,37,95.24,300,1.5,0.99,7
84,2.726857,35,95.44,300,1.5,0.99,7
85,2.651111,36,95.44,300,1.5,0.99,7
86,2.718857,35,95.16,300,1.5,0.99,7
87,2.653333,36,95.52,300,1.5,0.99,7
88,2.880000,33,95.04,300,1.5,0.99,7
89,2.724571,35,95.36,300,1.5,0.99,7
90,2.642222,36,95.12,300,1.5,0.99,7
91,2.580541,37,95.48,300,1.5,0.99,7
92,2.880000,33,95.04,300,1.5,0.99,7
93,2.718857,35,95.16,300,1.5,0.99,7
94,2.716571,35,95.08,300,1.5,0.99,7
95,2.730286,35,95.56,300,1.5,0.99,7
96,2.716571,35,95.08,300,1.5,0.99,7
97,2.797647,34,95.12,300,1.5,0.99,7
98,2.568649,37,95.04,300,1.5,0.99,7
99,2.800000,34,95.20,300,1.5,0.99,7
100,2.801176,34,95.24,300,1.5,0.99,7
101,2.646667,36,95.28,300,1.5,0.99,7
102,2.651111,36,95.44,300,1.5,0.99,7
103,2.878788,33,95.00,300,1.5,0.99,7
104,2.572973,37,95.20,300,1.5,0.99,7
105,2.882424,33,95.12,300,1.5,0.99,7
106,2.717714,35,95.12,300,1.5,0.99,7
107,2.798824,34,95.16,300,1.5,0.99,7
108,2.723429,35,95.32,300,1.5,0.99,7
109,2.650000,36,95.40,300,1.5,0.99,7
110,2.640000,36,95.04,300,1.5,0.99,7
111,2.647778,36,95.32,300,1.5,0.99,7
112,2.794118,34,95.00,300,1.5,0.99,7
113,2.641111,36,95.08,300,1.5,0.99,7
114,2.642222,36,95.12,300,1.5,0.99,7
