trial,efficiency,steps,coverage_pct,agents,repulsion_g,momentum,scan_radius
1,2.970000,32,95.04,300,1.5,0.99,10
2,2.641111,36,95.08,300,1.5,0.99,10
3,2.724571,35,95.36,300,1.5,0.99,10
4,2.568649,37,95.04,300,1.5,0.99,10
5,2.794118,34,95.00,300,1.5,0.99,10
6,2.716571,35,95.08,300,1.5,0.99,10
7,2.802353,34,95.28,300,1.5,0.99,10
8,2.794118,34,95.00,300,1.5,0.99,10
9,2.717714,35,95.12,300,1.5,0.99,10
10,2.644444,36,95.20,300,1.5,0.99,10
11,2.505263,38,95.20,300,1.5,0.99,10
12,2.638889,36,95.00,300,1.5,0.99,10
13,2.640000,36,95.04,300,1.5,0.99,10
14,2.580541,37,95.48,300,1.5,0.99,10
15,2.501053,38,95.04,300,1.5,0.99,10
16,2.648889,36,95.36,300,1.5,0.99,10
17,2.647778,36,95.32,300,1.5,0.99,10
18,2.718857,35,95.16,300,1.5,0.99,10
19,2.577297,37,95.36,300,1.5,0.99,10
20,2.503158,38,95.12,300,1.5,0.99,10
21,2.796471,34,95.08,300,1.5,0.99,10
22,2.797647,34,95.12,300,1.5,0.99,10
23,2.796471,34,95.08,300,1.5,0.99,10
24,2.722286,35,95.28,300,1.5,0.99,10
25,2.510526,38,95.40,300,1.5,0.99,10
26,2.571892,37,95.16,300,1.5,0.99,10
27,2.721143,35,95.24,300,1.5,0.99,10
28,2.800000,34,95.20,300,1.5,0.99,10
29,2.717714,35,95.12,300,1.5,0.99,10
30,2.568649,37,95.04,300,1.5,0.99,10
31,2.500000,38,95.00,300,1.5,0.99,10
32,2.795294,34,95.04,300,1.5,0.99,10
33,2.654444,36,95.56,300,1.5,0.99,10
34,2.571892,37,95.16,300,1.5,0.99,10
35,2.647778,36,95.32,300,1.5,0.99,10
36,2.797647,34,95.12,300,1.5,0.99,10
37,2.796471,34,95.08,300,1.5,0.99,10
38,2.509474,38,95.36,300,1.5,0.99,10
39,2.650000,36,95.40,300,1.5,0.99,10
40,2.718857,35,95.16,300,1.5,0.99,10
41,2.580541,37,95.48,300,1.5,0.99,10
42,2.650000,36,95.40,300,1.5,0.99,10
43,2.569730,37,95.08,300,1.5,0.99,10
44,2.642222,36,95.12,300,1.5,0.99,10
45,2.652222,36,95.48,300,1.5,0.99,10
46,2.797647,34,95.12,300,1.5,0.99,10
47,2.441026,39,95.20,300,1.5,0.99,10
48,2.642222,36,95.12,300,1.5,0.99,10
49,2.643333,36,95.16,300,1.5,0.99,10
50,2.640000,36,95.04,300,1.5,0.99,10
51,2.577297,37,95.36,300,1.5,0.99,10
52,2.881212,33,95.08,300,1.5,0.99,10
53,2.570811,37,95.12,300,1.5,0.99,10
54,2.642222,36,95.12,300,1.5,0.99,10
55,2.578378,37,95.40,300,1.5,0.99,10
56,2.721143,35,95.24,300,1.5,0.99,10
57,2.515789,38,95.60,300,1.5,0.99,10
58,2.716571,35,95.08,300,1.5,0.99,10
59,2.798824,34,95.16,300,1.5,0.99,10
60,2.724571,35,95.36,300,1.5,0.99,10
61,2.651111,36,95.44,300,1.5,0.99,10
62,2.805882,34,95.40,300,1.5,0.99,10
63,2.644444,36,95.20,300,1.5,0.99,10
64,2.725714,35,95.40,300,1.5,0.99,10
65,2.977500,32,95.28,300,1.5,0.99,10
66,2.803529,34,95.32,300,1.5,0.99,10
67,2.507368,38,95.28,300,1.5,0.99,10
68,2.571892,37,95.16,300,1.5,0.99,10
69,2.723429,35,95.32,300,1.5,0.99,10
70,2.722286,35,95.28,300,1.5,0.99,10
71,2.647778,36,95.32,300,1.5,0.99,10
72,2.642222,36,95.12,300,1.5,0.99,10
73,2.570811,37,95.12,300,1.5,0.99,10
74,2.803529,34,95.32,300,1.5,0.99,10
75,2.720000,35,95.20,300,1.5,0.99,10
76,2.652222,36,95.48,300,1.5,0.99,10
77,2.795294,34,95.04,300,1.5,0.99,10
78,2.797647,34,95.12,300,1.5,0.99,10
79,2.797647,34,95.12,300,1.5,0.99,10
80,2.571892,37,95.16,300,1.5,0.99,10
81,2.638889,36,95.00,300,1.5,0.99,10
