trial,efficiency,steps,coverage_pct,agents,repulsion_g
1,0.979794,97,95.04,150,6
2,0.780000,122,95.16,150,6
3,0.827478,115,95.16,150,6
4,0.864000,110,95.04,150,6
5,0.857297,111,95.16,150,6
6,0.830957,115,95.56,150,6
7,0.834386,114,95.12,150,6
8,0.829217,115,95.36,150,6
9,0.933333,102,95.20,150,6
10,0.989583,96,95.00,150,6
11,0.924660,103,95.24,150,6
12,0.840708,113,95.00,150,6
13,0.829913,115,95.44,150,6
14,0.935686,102,95.44,150,6
15,0.793333,120,95.20,150,6
16,0.805763,118,95.08,150,6
17,0.874495,109,95.32,150,6
18,0.905524,105,95.08,150,6
19,0.863636,110,95.00,150,6
20,0.836140,114,95.32,150,6
21,0.873761,109,95.24,150,6
22,0.907048,105,95.24,150,6
23,0.815043,117,95.36,150,6
24,0.815043,117,95.36,150,6
25,0.888224,107,95.04,150,6
26,0.898868,106,95.28,150,6
27,0.868000,110,95.48,150,6
28,0.932549,102,95.12,150,6
29,0.813333,117,95.16,150,6
30,0.880000,108,95.04,150,6
31,0.819655,116,95.08,150,6
32,0.960000,99,95.04,150,6
33,0.812650,117,95.08,150,6
34,0.767419,124,95.16,150,6
35,0.799328,119,95.12,150,6
36,0.940594,101,95.00,150,6
37,0.809153,118,95.48,150,6
38,0.940990,101,95.04,150,6
39,0.836491,114,95.36,150,6
40,0.971020,98,95.16,150,6
41,0.907048,105,95.24,150,6
42,1.002526,95,95.24,150,6
43,0.855856,111,95.00,150,6
44,0.857658,111,95.20,150,6
45,0.896604,106,95.04,150,6
46,0.896604,106,95.04,150,6
47,0.905524,105,95.08,150,6
48,0.704593,135,95.12,150,6
49,0.940594,101,95.00,150,6
50,0.813675,117,95.20,150,6
51,0.820345,116,95.16,150,6
52,0.774634,123,95.28,150,6
53,0.891215,107,95.36,150,6
54,0.923883,103,95.16,150,6
55,0.880741,108,95.12,150,6
56,0.981443,97,95.20,150,6
57,0.933333,102,95.20,150,6
58,0.925049,103,95.28,150,6
59,0.820000,116,95.12,150,6
60,0.935686,102,95.44,150,6
61,0.834737,114,95.16,150,6
62,0.788430,121,95.40,150,6
63,0.941386,101,95.08,150,6
64,0.983918,97,95.44,150,6
65,0.872661,109,95.12,150,6
66,0.941782,101,95.12,150,6
67,0.794000,120,95.28,150,6
68,0.865818,110,95.24,150,6
69,0.841062,113,95.04,150,6
70,0.749606,127,95.20,150,6
71,0.974694,98,95.52,150,6
72,0.931373,102,95.00,150,6
73,0.820000,116,95.12,150,6
74,1.000842,95,95.08,150,6
75,0.865455,110,95.20,150,6
76,0.850714,112,95.28,150,6
77,0.890841,107,95.32,150,6
78,0.837544,114,95.48,150,6
79,0.813333,117,95.16,150,6
80,0.806102,118,95.12,150,6
81,0.935686,102,95.44,150,6
82,0.798655,119,95.04,150,6
83,0.848214,112,95.00,150,6
84,0.935294,102,95.40,150,6
85,0.916538,104,95.32,150,6
86,0.945743,101,95.52,150,6
87,0.827826,115,95.20,150,6
88,0.941782,101,95.12,150,6
89,0.871560,109,95.00,150,6
90,0.960000,99,95.04,150,6
91,0.793667,120,95.24,150,6
92,0.907810,105,95.32,150,6
93,0.962828,99,95.32,150,6
94,0.848214,112,95.00,150,6
95,0.812991,117,95.12,150,6
96,0.788430,121,95.40,150,6
97,0.909333,105,95.48,150,6
98,0.855856,111,95.00,150,6
99,0.914231,104,95.08,150,6
100,0.872294,109,95.08,150,6
101,0.881481,108,95.20,150,6
102,0.778689,122,95.00,150,6
103,0.856577,111,95.08,150,6
104,0.974286,98,95.48,150,6
105,0.962424,99,95.28,150,6
106,0.962828,99,95.32,150,6
107,0.766774,124,95.08,150,6
108,0.874862,109,95.36,150,6
109,0.887850,107,95.00,150,6
110,0.767419,124,95.16,150,6
111,0.883333,108,95.40,150,6
112,0.850357,112,95.24,150,6
113,0.900000,106,95.40,150,6
114,0.834386,114,95.12,150,6
115,0.933333,102,95.20,150,6
116,0.858378,111,95.28,150,6
117,0.856937,111,95.12,150,6
118,0.942970,101,95.24,150,6
119,0.932157,102,95.08,150,6
120,0.800000,119,95.20,150,6
121,0.959596,99,95.00,150,6
122,0.820000,116,95.12,150,6
123,0.888972,107,95.12,150,6
124,0.820000,116,95.12,150,6
125,0.944158,101,95.36,150,6
126,0.863636,110,95.00,150,6
127,0.876330,109,95.52,150,6
128,0.772358,123,95.00,150,6
129,0.936471,102,95.52,150,6
130,0.841062,113,95.04,150,6
131,0.935686,102,95.44,150,6
132,0.827478,115,95.16,150,6
133,0.850000,112,95.20,150,6
134,0.660278,144,95.08,150,6
135,0.941782,101,95.12,150,6
136,0.865091,110,95.16,150,6
137,0.915000,104,95.16,150,6
138,1.001263,95,95.12,150,6
139,0.857297,111,95.16,150,6
140,0.873761,109,95.24,150,6
141,0.914615,104,95.12,150,6
142,0.905905,105,95.12,150,6
143,0.934902,102,95.36,150,6
144,0.953200,100,95.32,150,6
145,0.946931,101,95.64,150,6
146,0.896981,106,95.08,150,6
147,0.820000,116,95.12,150,6
148,0.820345,116,95.16,150,6
149,0.934118,102,95.28,150,6
150,0.835439,114,95.24,150,6
151,0.882963,108,95.36,150,6
152,0.881481,108,95.20,150,6
153,0.888972,107,95.12,150,6
154,0.848929,112,95.08,150,6
