trial,efficiency,steps,coverage_pct,agents,repulsion_g
1,1.400588,68,95.24,300,4
2,1.420299,67,95.16,300,4
3,1.400588,68,95.24,300,4
4,1.641379,58,95.20,300,4
5,1.537419,62,95.32,300,4
6,1.641379,58,95.20,300,4
7,1.441212,66,95.12,300,4
8,1.422090,67,95.28,300,4
9,1.728727,55,95.08,300,4
10,1.696429,56,95.00,300,4
11,1.532258,62,95.00,300,4
12,1.464000,65,95.16,300,4
13,1.397647,68,95.04,300,4
14,1.443030,66,95.24,300,4
15,1.421493,67,95.24,300,4
16,1.642069,58,95.24,300,4
17,1.702143,56,95.32,300,4
18,1.495625,64,95.72,300,4
19,1.669474,57,95.16,300,4
20,1.467692,65,95.40,300,4
21,1.398824,68,95.12,300,4
22,1.514286,63,95.40,300,4
23,1.422687,67,95.32,300,4
24,1.670877,57,95.24,300,4
25,1.441212,66,95.12,300,4
26,1.488750,64,95.28,300,4
27,1.488125,64,95.24,300,4
28,1.610847,59,95.04,300,4
29,1.585333,60,95.12,300,4
30,1.488750,64,95.28,300,4
31,1.341972,71,95.28,300,4
32,1.491250,64,95.44,300,4
33,1.644138,58,95.36,300,4
34,1.637931,58,95.00,300,4
35,1.612203,59,95.12,300,4
36,1.421493,67,95.24,300,4
37,1.441818,66,95.16,300,4
38,1.639310,58,95.08,300,4
39,1.508571,63,95.04,300,4
40,1.403529,68,95.44,300,4
41,1.321111,72,95.12,300,4
42,1.461538,65,95.00,300,4
43,1.538065,62,95.36,300,4
44,1.532258,62,95.00,300,4
45,1.465231,65,95.24,300,4
46,1.560656,61,95.20,300,4
47,1.586667,60,95.20,300,4
48,1.509206,63,95.08,300,4
49,1.303014,73,95.12,300,4
50,1.585333,60,95.12,300,4
51,1.397059,68,95.00,300,4
52,1.357143,70,95.00,300,4
53,1.513651,63,95.36,300,4
54,1.511746,63,95.24,300,4
55,1.467692,65,95.40,300,4
56,1.590667,60,95.44,300,4
57,1.402941,68,95.40,300,4
58,1.444242,66,95.32,300,4
59,1.594667,60,95.68,300,4
60,1.541935,62,95.60,300,4
61,1.441212,66,95.12,300,4
62,1.462769,65,95.08,300,4
63,1.514286,63,95.40,300,4
64,1.593333,60,95.60,300,4
65,1.400588,68,95.24,300,4
66,1.426269,67,95.56,300,4
67,1.540000,62,95.48,300,4
68,1.363429,70,95.44,300,4
69,1.218974,78,95.08,300,4
70,1.514921,63,95.44,300,4
71,1.648276,58,95.60,300,4
72,1.287568,74,95.28,300,4
73,1.470154,65,95.56,300,4
74,1.321667,72,95.16,300,4
75,1.386087,69,95.64,300,4
76,1.443030,66,95.24,300,4
77,1.675789,57,95.52,300,4
78,1.484375,64,95.00,300,4
79,1.288108,74,95.32,300,4
80,1.561967,61,95.28,300,4
81,1.536129,62,95.24,300,4
82,1.422687,67,95.32,300,4
83,1.584000,60,95.04,300,4
84,1.668772,57,95.12,300,4
85,1.702857,56,95.36,300,4
86,1.377971,69,95.08,300,4
87,1.508571,63,95.04,300,4
88,1.612881,59,95.16,300,4
89,1.338592,71,95.04,300,4
90,1.488750,64,95.28,300,4
91,1.509841,63,95.12,300,4
92,1.585333,60,95.12,300,4
93,1.534194,62,95.12,300,4
94,1.440606,66,95.08,300,4
95,1.614237,59,95.24,300,4
96,1.644828,58,95.40,300,4
97,1.534839,62,95.16,300,4
98,1.287568,74,95.28,300,4
99,1.542581,62,95.64,300,4
100,1.380870,69,95.28,300,4
101,1.423881,67,95.40,300,4
102,1.398824,68,95.12,300,4
103,1.565246,61,95.48,300,4
104,1.510476,63,95.16,300,4
105,1.614237,59,95.24,300,4
106,1.439394,66,95.00,300,4
107,1.469538,65,95.52,300,4
108,1.304110,73,95.20,300,4
109,1.464615,65,95.20,300,4
110,1.561967,61,95.28,300,4
111,1.422090,67,95.28,300,4
112,1.567213,61,95.60,300,4
113,1.485000,64,95.04,300,4
114,1.469538,65,95.52,300,4
115,1.514921,63,95.44,300,4
116,1.540000,62,95.48,300,4
117,1.383188,69,95.44,300,4
118,1.588000,60,95.28,300,4
119,1.561967,61,95.28,300,4
120,1.587333,60,95.24,300,4
121,1.306849,73,95.40,300,4
122,1.383768,69,95.48,300,4
123,1.539355,62,95.44,300,4
124,1.379710,69,95.20,300,4
125,1.700714,56,95.24,300,4
126,1.567869,61,95.64,300,4
127,1.584000,60,95.04,300,4
128,1.510476,63,95.16,300,4
129,1.357143,70,95.00,300,4
130,1.400588,68,95.24,300,4
131,1.533548,62,95.08,300,4
132,1.422090,67,95.28,300,4
133,1.467077,65,95.36,300,4
134,1.564590,61,95.44,300,4
135,1.534194,62,95.12,300,4
136,1.445455,66,95.40,300,4
137,1.557377,61,95.00,300,4
138,1.563934,61,95.40,300,4
139,1.340845,71,95.20,300,4
140,1.488750,64,95.28,300,4
141,1.421493,67,95.24,300,4
142,1.485000,64,95.04,300,4
143,1.640690,58,95.16,300,4
144,1.729455,55,95.12,300,4
145,1.360571,70,95.24,300,4
146,1.558689,61,95.08,300,4
147,1.417910,67,95.00,300,4
148,1.584000,60,95.04,300,4
149,1.591333,60,95.48,300,4
150,1.560656,61,95.20,300,4
