trial,efficiency,steps,coverage_pct,agents,repulsion_g
1,0.826435,115,95.04,150,2
2,0.922330,103,95.00,150,2
3,1.035652,92,95.28,150,2
4,0.856216,111,95.04,150,2
5,0.970204,98,95.08,150,2
6,0.922718,103,95.04,150,2
7,0.849286,112,95.12,150,2
8,0.922330,103,95.00,150,2
9,0.880741,108,95.12,150,2
10,0.896604,106,95.04,150,2
11,1.096092,87,95.36,150,2
12,1.010638,94,95.00,150,2
13,0.983505,97,95.40,150,2
14,1.011489,94,95.08,150,2
15,0.818966,116,95.00,150,2
16,0.914231,104,95.08,150,2
17,0.970612,98,95.12,150,2
18,0.897358,106,95.12,150,2
19,0.813333,117,95.16,150,2
20,0.908190,105,95.36,150,2
21,0.992500,96,95.28,150,2
22,1.045714,91,95.16,150,2
23,0.890467,107,95.28,150,2
24,0.888224,107,95.04,150,2
25,0.918077,104,95.48,150,2
26,1.058222,90,95.24,150,2
27,0.924660,103,95.24,150,2
28,1.055556,90,95.00,150,2
29,0.872661,109,95.12,150,2
30,0.979794,97,95.04,150,2
31,0.881481,108,95.20,150,2
32,0.924272,103,95.20,150,2
33,0.842124,113,95.16,150,2
34,0.932941,102,95.16,150,2
35,0.863636,110,95.00,150,2
36,0.979794,97,95.04,150,2
37,0.950000,100,95.00,150,2
38,0.905524,105,95.08,150,2
39,1.046154,91,95.20,150,2
40,0.864000,110,95.04,150,2
41,0.834386,114,95.12,150,2
42,0.814017,117,95.24,150,2
43,0.969388,98,95.00,150,2
44,0.992917,96,95.32,150,2
45,0.899245,106,95.32,150,2
46,0.753968,126,95.00,150,2
47,0.950400,100,95.04,150,2
48,1.104651,86,95.00,150,2
49,0.994167,96,95.44,150,2
50,0.991667,96,95.20,150,2
51,0.961212,99,95.16,150,2
52,0.800336,119,95.24,150,2
53,1.023656,93,95.20,150,2
54,0.792000,120,95.04,150,2
55,0.983505,97,95.40,150,2
56,0.969796,98,95.04,150,2
57,0.922718,103,95.04,150,2
58,0.906286,105,95.16,150,2
59,0.936863,102,95.56,150,2
60,0.858739,111,95.32,150,2
61,0.959596,99,95.00,150,2
62,0.907429,105,95.28,150,2
63,0.881111,108,95.16,150,2
64,0.793667,120,95.24,150,2
65,0.887850,107,95.00,150,2
66,1.202532,79,95.00,150,2
67,0.959596,99,95.00,150,2
68,0.907048,105,95.24,150,2
69,1.002105,95,95.20,150,2
70,0.896604,106,95.04,150,2
71,0.972245,98,95.28,150,2
72,0.983918,97,95.44,150,2
