n,g,m,r,efficiency
150,4,0.9800000190734864,8,0.367422
150,6,0.9800000190734864,8,0.339422
150,2,0.9800000190734864,8,0.346267
150,5,0.9800000190734864,8,0.357378
150,2,0.9800000190734864,8,0.333378
150,3,0.9800000190734864,8,0.360044
150,6,0.9800000190734864,8,0.338133
150,2,0.9800000190734864,8,0.345156
150,2,0.9800000190734864,8,0.348178
150,4,0.9800000190734864,8,0.358889
150,2,0.9800000190734864,8,0.355289
150,6,0.9800000190734864,8,0.342533
150,2,0.9800000190734864,8,0.353067
150,4,0.9800000190734864,8,0.368711
150,2,0.9800000190734864,8,0.341556
150,6,0.9800000190734864,8,0.342889
150,4,0.9800000190734864,8,0.361511
150,2,0.9800000190734864,8,0.350178
150,4,0.9800000190734864,8,0.361022
150,6,0.9800000190734864,8,0.345156
150,2,0.9800000190734864,8,0.3648
150,6,0.9800000190734864,8,0.340267
150,6,0.9800000190734864,8,0.340044
150,4,0.9800000190734864,8,0.355022
150,4,0.9800000190734864,8,0.359111
150,3,0.9800000190734864,8,0.356711
150,6,0.9800000190734864,8,0.341689
150,5,0.9800000190734864,8,0.352089
150,2,0.9800000190734864,8,0.338222
150,4,0.9800000190734864,8,0.353911
150,6,0.9800000190734864,8,0.344978
150,4,0.9800000190734864,8,0.360489
150,3,0.9800000190734864,8,0.357689
150,3,0.9800000190734864,8,0.364489
150,5,0.9800000190734864,8,0.350711
150,3,0.9800000190734864,8,0.361689
150,2,0.9800000190734864,8,0.340044
150,5,0.9800000190734864,8,0.351556
150,4,0.9800000190734864,8,0.359289
150,6,0.9800000190734864,8,0.341289
150,6,0.9800000190734864,8,0.343067
150,2,0.9800000190734864,8,0.344978
150,3,0.9800000190734864,8,0.359467
150,4,0.9800000190734864,8,0.353911
150,5,0.9800000190734864,8,0.343111
150,6,0.9800000190734864,8,0.338756
150,2,0.9800000190734864,8,0.354622
150,5,0.9800000190734864,8,0.354267
150,4,0.9800000190734864,8,0.362311
150,5,0.9800000190734864,8,0.3564
150,5,0.9800000190734864,8,0.346889
150,6,0.9800000190734864,8,0.342933
150,3,0.9800000190734864,8,0.3664
150,6,0.9800000190734864,8,0.342089
150,5,0.9800000190734864,8,0.346178
150,5,0.9800000190734864,8,0.342933
150,3,0.9800000190734864,8,0.361467
150,5,0.9800000190734864,8,0.3496
150,4,0.9800000190734864,8,0.351067
150,4,0.9800000190734864,8,0.364667
150,5,0.9800000190734864,8,0.353244
150,3,0.9800000190734864,8,0.364089
150,4,0.9800000190734864,8,0.358267
150,3,0.9800000190734864,8,0.363689
150,6,0.9800000190734864,8,0.344622
150,5,0.9800000190734864,8,0.357644
150,5,0.9800000190734864,8,0.350844
150,5,0.9800000190734864,8,0.348089
150,5,0.9800000190734864,8,0.347511
150,5,0.9800000190734864,8,0.347467
150,2,0.9800000190734864,8,0.350933
150,2,0.9800000190734864,8,0.355067
150,5,0.9800000190734864,8,0.350622
150,3,0.9800000190734864,8,0.364267
150,4,0.9800000190734864,8,0.357244
150,2,0.9800000190734864,8,0.349244
150,2,0.9800000190734864,8,0.353956
150,5,0.9800000190734864,8,0.354356
150,4,0.9800000190734864,8,0.354267
150,4,0.9800000190734864,8,0.354978
150,3,0.9800000190734864,8,0.3612
150,4,0.9800000190734864,8,0.356489
150,5,0.9800000190734864,8,0.3516
150,6,0.9800000190734864,8,0.337911
150,4,0.9800000190734864,8,0.3612
150,5,0.9800000190734864,8,0.349467
150,4,0.9800000190734864,8,0.357956
150,3,0.9800000190734864,8,0.367778
150,4,0.9800000190734864,8,0.355867
150,6,0.9800000190734864,8,0.344444
150,2,0.9800000190734864,8,0.344578
150,6,0.9800000190734864,8,0.347778
150,2,0.9800000190734864,8,0.357467
150,4,0.9800000190734864,8,0.361511
150,3,0.9800000190734864,8,0.358622
150,4,0.9800000190734864,8,0.359111
