trial_id,gust_intensity,trial_index_within_gust_level,efficiency,voxels_covered,final_step_coverage_rate,mean_coverage_rate_across_steps,std_coverage_rate_across_steps
94,3,43,0.08355555555555555,1880,0.08355555555555555,0.12397099360590036,0.031056691549492563
95,3,44,0.08222222222222222,1850,0.08222222222222222,0.12629202236396453,0.03539089445475442
96,3,45,0.08057777777777778,1813,0.08057777777777778,0.12407707118339421,0.035940291069379494
97,3,46,0.08208888888888889,1847,0.08208888888888889,0.11741709561665291,0.027998886260483514
98,3,47,0.08088888888888889,1820,0.08088888888888889,0.11967193486817522,0.03086638524706736
99,3,48,0.08102222222222222,1823,0.08102222222222222,0.11828961764605381,0.031728686297210686
100,3,49,0.08306666666666666,1869,0.08306666666666666,0.12320963559185555,0.03268261137634508
101,4,0,0.08124444444444444,1828,0.08124444444444444,0.12609187740158395,0.03658417086883474
102,4,1,0.08244444444444445,1855,0.08244444444444445,0.12748054424814437,0.03573603510394548
103,4,2,0.08102222222222222,1823,0.08102222222222222,0.11873764585454225,0.032095039937632706
104,4,3,0.08222222222222222,1850,0.08222222222222222,0.11744334339960193,0.02791289152319388
105,4,4,0.08293333333333333,1866,0.08293333333333333,0.12355362859390923,0.03209183589700826
106,4,5,0.0828,1863,0.0828,0.12859289389346415,0.0377765821954099
107,4,6,0.08186666666666667,1842,0.08186666666666667,0.12074767826720184,0.029697045972321826
108,4,7,0.08253333333333333,1857,0.08253333333333333,0.1273210569307851,0.038286331703786994
109,4,8,0.08391111111111112,1888,0.08391111111111112,0.12540527653540573,0.0323881274672546
110,4,9,0.08231111111111111,1852,0.08231111111111111,0.12577246391348548,0.03714390584244515
111,4,10,0.08102222222222222,1823,0.08102222222222222,0.12284890455774339,0.033035379914177536
112,4,11,0.0828,1863,0.0828,0.12351298990238685,0.02884111091908855
113,4,12,0.08257777777777778,1858,0.08257777777777778,0.12625396844134643,0.036283391016666576
114,4,13,0.08155555555555556,1835,0.08155555555555556,0.1170822106542653,0.026286336484269916
115,4,14,0.0816,1836,0.0816,0.13052208489071665,0.039050573455048115
116,4,15,0.08244444444444445,1855,0.08244444444444445,0.1252279289066853,0.035299217074846595
117,4,16,0.07933333333333334,1785,0.07933333333333334,0.11324993353824747,0.02655937730568847
118,4,17,0.082,1845,0.082,0.12740503428635588,0.03722168970788777
119,4,18,0.08013333333333333,1803,0.08013333333333333,0.11491002634737005,0.027271089937696898
120,4,19,0.08182222222222223,1841,0.08182222222222223,0.12956817870614995,0.0393170026211527
121,4,20,0.08244444444444445,1855,0.08244444444444445,0.12068637928642079,0.032798437931603724
122,4,21,0.08271111111111111,1861,0.08271111111111111,0.12444472015763462,0.03249608726062231
123,4,22,0.08266666666666667,1860,0.08266666666666667,0.12883941909911348,0.0384590664897259
124,4,23,0.08088888888888889,1820,0.08088888888888889,0.12010411089798735,0.03205546012366004
125,4,24,0.07933333333333334,1785,0.07933333333333334,0.12173850105017152,0.03512191653968024
126,4,25,0.08253333333333333,1857,0.08253333333333333,0.12018047762476021,0.0330966811442824
127,4,26,0.08191111111111112,1843,0.08191111111111112,0.12725478955568117,0.0373412012245702
128,4,27,0.08222222222222222,1850,0.08222222222222222,0.12391803191072234,0.034703441523062505
129,4,28,0.08244444444444445,1855,0.08244444444444445,0.12341602655792486,0.03053878450122407
130,4,29,0.08164444444444445,1837,0.08164444444444445,0.12674543696654061,0.03615592865887186
131,4,30,0.08382222222222223,1886,0.08382222222222223,0.12585780862168716,0.033302739973224645
132,4,31,0.08271111111111111,1861,0.08271111111111111,0.12460114025782495,0.034675431545889486
133,4,32,0.082,1845,0.082,0.12407620706432441,0.03230798888111532
134,4,33,0.08222222222222222,1850,0.08222222222222222,0.12453714673824637,0.03315326974511903
135,4,34,0.08271111111111111,1861,0.08271111111111111,0.12423248165976694,0.032769386337580676
136,4,35,0.08053333333333333,1812,0.08053333333333333,0.12127308283093634,0.03171266834615272
137,4,36,0.08186666666666667,1842,0.08186666666666667,0.11671020586990849,0.029561717700400465
138,4,37,0.08142222222222223,1832,0.08142222222222223,0.11946147961250288,0.031307898932480954
