trial,efficiency,steps,coverage_pct,agents,repulsion_g
1,2.022128,47,95.04,300,1.25
2,1.947755,49,95.44,300,1.25
3,1.760000,54,95.04,300,1.25
4,1.699286,56,95.16,300,1.25
5,1.668070,57,95.08,300,1.25
6,1.669474,57,95.16,300,1.25
7,1.559344,61,95.12,300,1.25
8,1.621695,59,95.68,300,1.25
9,1.796981,53,95.24,300,1.25
10,1.765926,54,95.36,300,1.25
11,1.423284,67,95.36,300,1.25
12,1.732364,55,95.28,300,1.25
13,1.793962,53,95.08,300,1.25
14,1.867451,51,95.24,300,1.25
15,1.864314,51,95.08,300,1.25
16,1.763704,54,95.24,300,1.25
17,1.638621,58,95.04,300,1.25
18,1.672281,57,95.32,300,1.25
19,1.903200,50,95.16,300,1.25
20,1.866667,51,95.20,300,1.25
21,1.826923,52,95.00,300,1.25
22,1.827692,52,95.04,300,1.25
23,1.637931,58,95.00,300,1.25
24,1.983333,48,95.20,300,1.25
25,1.728000,55,95.04,300,1.25
26,1.670175,57,95.20,300,1.25
27,2.026383,47,95.24,300,1.25
28,1.946122,49,95.36,300,1.25
29,1.906400,50,95.32,300,1.25
30,1.900800,50,95.04,300,1.25
31,1.613559,59,95.20,300,1.25
32,1.644138,58,95.36,300,1.25
33,1.830769,52,95.20,300,1.25
34,1.666667,57,95.00,300,1.25
35,1.870588,51,95.40,300,1.25
36,1.696429,56,95.00,300,1.25
37,1.793962,53,95.08,300,1.25
38,1.760741,54,95.08,300,1.25
39,1.765185,54,95.32,300,1.25
40,1.903200,50,95.16,300,1.25
41,1.533548,62,95.08,300,1.25
42,1.730909,55,95.20,300,1.25
43,1.532258,62,95.00,300,1.25
44,1.697143,56,95.04,300,1.25
45,1.563934,61,95.40,300,1.25
46,1.643448,58,95.32,300,1.25
47,1.732364,55,95.28,300,1.25
48,1.729455,55,95.12,300,1.25
49,1.762963,54,95.20,300,1.25
50,1.796226,53,95.20,300,1.25
51,1.558033,61,95.04,300,1.25
52,1.759259,54,95.00,300,1.25
53,1.762222,54,95.16,300,1.25
54,1.762963,54,95.20,300,1.25
55,1.669474,57,95.16,300,1.25
56,1.760741,54,95.08,300,1.25
57,1.765926,54,95.36,300,1.25
58,1.560656,61,95.20,300,1.25
59,1.729455,55,95.12,300,1.25
60,1.793208,53,95.04,300,1.25
61,1.462769,65,95.08,300,1.25
62,1.465846,65,95.28,300,1.25
63,1.803019,53,95.56,300,1.25
64,1.701429,56,95.28,300,1.25
65,1.762222,54,95.16,300,1.25
66,2.071304,46,95.28,300,1.25
67,1.507937,63,95.00,300,1.25
68,1.796981,53,95.24,300,1.25
69,1.763704,54,95.24,300,1.25
70,1.485625,64,95.08,300,1.25
71,1.765926,54,95.36,300,1.25
72,1.731636,55,95.24,300,1.25
73,1.561967,61,95.28,300,1.25
74,1.760741,54,95.08,300,1.25
75,1.613559,59,95.20,300,1.25
76,1.614237,59,95.24,300,1.25
77,1.730909,55,95.20,300,1.25
78,1.797736,53,95.28,300,1.25
79,1.761481,54,95.12,300,1.25
80,1.910400,50,95.52,300,1.25
81,1.792453,53,95.00,300,1.25
82,1.908000,50,95.40,300,1.25
83,1.558689,61,95.08,300,1.25
84,1.667368,57,95.04,300,1.25
85,1.870588,51,95.40,300,1.25
86,1.644828,58,95.40,300,1.25
87,1.872157,51,95.48,300,1.25
88,1.760000,54,95.04,300,1.25
89,1.489375,64,95.32,300,1.25
90,1.585333,60,95.12,300,1.25
91,1.979167,48,95.00,300,1.25
92,1.731636,55,95.24,300,1.25
93,1.833077,52,95.32,300,1.25
94,1.903200,50,95.16,300,1.25
95,1.728727,55,95.08,300,1.25
96,1.981667,48,95.12,300,1.25
97,1.796981,53,95.24,300,1.25
98,1.904000,50,95.20,300,1.25
99,1.833077,52,95.32,300,1.25
100,1.584000,60,95.04,300,1.25
101,1.906400,50,95.32,300,1.25
102,1.833846,52,95.36,300,1.25
103,1.734545,55,95.40,300,1.25
104,1.830769,52,95.20,300,1.25
105,1.735273,55,95.44,300,1.25
106,1.938776,49,95.00,300,1.25
107,1.637931,58,95.00,300,1.25
108,1.666667,57,95.00,300,1.25
109,1.862745,51,95.00,300,1.25
110,1.900800,50,95.04,300,1.25
111,1.670877,57,95.24,300,1.25
112,1.535484,62,95.20,300,1.25
113,1.981667,48,95.12,300,1.25
114,1.588000,60,95.28,300,1.25
115,1.558033,61,95.04,300,1.25
116,1.762222,54,95.16,300,1.25
117,1.670877,57,95.24,300,1.25
118,1.417910,67,95.00,300,1.25
119,1.797736,53,95.28,300,1.25
120,2.065217,46,95.00,300,1.25
121,1.826923,52,95.00,300,1.25
122,1.793208,53,95.04,300,1.25
123,1.508571,63,95.04,300,1.25
124,1.834615,52,95.40,300,1.25
125,1.942041,49,95.16,300,1.25
126,1.826923,52,95.00,300,1.25
127,1.760741,54,95.08,300,1.25
128,1.640000,58,95.12,300,1.25
129,1.697857,56,95.08,300,1.25
130,1.702143,56,95.32,300,1.25
131,1.584667,60,95.08,300,1.25
132,1.794717,53,95.12,300,1.25
133,1.834615,52,95.40,300,1.25
134,1.509841,63,95.12,300,1.25
135,1.904800,50,95.24,300,1.25
136,1.762963,54,95.20,300,1.25
137,1.944490,49,95.28,300,1.25
138,1.699286,56,95.16,300,1.25
139,1.673684,57,95.40,300,1.25
140,1.611525,59,95.08,300,1.25
141,1.829231,52,95.12,300,1.25
142,1.980833,48,95.08,300,1.25
143,1.583333,60,95.00,300,1.25
144,1.701429,56,95.28,300,1.25
145,1.513651,63,95.36,300,1.25
146,1.669474,57,95.16,300,1.25
147,1.792453,53,95.00,300,1.25
148,1.614915,59,95.28,300,1.25
149,1.798491,53,95.32,300,1.25
150,1.865098,51,95.12,300,1.25
151,1.730909,55,95.20,300,1.25
152,1.619661,59,95.56,300,1.25
153,1.699286,56,95.16,300,1.25
154,1.728000,55,95.04,300,1.25
155,1.728000,55,95.04,300,1.25
156,1.729455,55,95.12,300,1.25
157,1.874510,51,95.60,300,1.25
158,1.442424,66,95.20,300,1.25
159,1.865882,51,95.16,300,1.25
160,1.668070,57,95.08,300,1.25
161,1.739636,55,95.68,300,1.25
162,1.796226,53,95.20,300,1.25
163,1.585333,60,95.12,300,1.25
164,1.768889,54,95.52,300,1.25
165,1.764444,54,95.28,300,1.25
