trial,efficiency,steps,coverage_pct,agents,repulsion_g
1,1.003368,95,95.32,150,2.5
2,0.828174,115,95.24,150,2.5
3,0.972653,98,95.32,150,2.5
4,0.933333,102,95.20,150,2.5
5,0.989583,96,95.00,150,2.5
6,0.866182,110,95.28,150,2.5
7,0.786446,121,95.16,150,2.5
8,0.840708,113,95.00,150,2.5
9,0.952400,100,95.24,150,2.5
10,0.913846,104,95.04,150,2.5
11,0.864364,110,95.08,150,2.5
12,0.806441,118,95.16,150,2.5
13,0.962828,99,95.32,150,2.5
14,0.985155,97,95.56,150,2.5
15,0.994167,96,95.44,150,2.5
16,0.843540,113,95.32,150,2.5
17,0.835439,114,95.24,150,2.5
18,0.889720,107,95.20,150,2.5
19,0.833684,114,95.04,150,2.5
20,0.913846,104,95.04,150,2.5
21,0.982680,97,95.32,150,2.5
22,0.799328,119,95.12,150,2.5
23,0.904762,105,95.00,150,2.5
24,1.098851,87,95.60,150,2.5
25,0.943762,101,95.32,150,2.5
26,0.849286,112,95.12,150,2.5
27,0.898868,106,95.28,150,2.5
28,0.991250,96,95.16,150,2.5
29,1.024516,93,95.28,150,2.5
30,0.932549,102,95.12,150,2.5
31,0.935686,102,95.44,150,2.5
32,0.916154,104,95.28,150,2.5
33,0.891215,107,95.36,150,2.5
34,1.021935,93,95.04,150,2.5
35,0.897736,106,95.16,150,2.5
36,0.896981,106,95.08,150,2.5
37,0.960000,99,95.04,150,2.5
38,0.992083,96,95.24,150,2.5
39,0.970204,98,95.08,150,2.5
40,0.990000,96,95.04,150,2.5
41,1.000421,95,95.04,150,2.5
42,1.068315,89,95.08,150,2.5
43,0.882593,108,95.32,150,2.5
44,0.883333,108,95.40,150,2.5
45,1.056000,90,95.04,150,2.5
46,0.983093,97,95.36,150,2.5
47,0.848214,112,95.00,150,2.5
48,0.806102,118,95.12,150,2.5
49,0.960000,99,95.04,150,2.5
50,0.865455,110,95.20,150,2.5
51,0.874495,109,95.32,150,2.5
52,0.871927,109,95.04,150,2.5
53,0.906667,105,95.20,150,2.5
54,0.879630,108,95.00,150,2.5
55,0.942574,101,95.20,150,2.5
56,1.047033,91,95.28,150,2.5
57,0.964444,99,95.48,150,2.5
58,0.906286,105,95.16,150,2.5
59,0.890841,107,95.32,150,2.5
60,0.819655,116,95.08,150,2.5
61,0.931373,102,95.00,150,2.5
62,0.867273,110,95.40,150,2.5
63,0.868364,110,95.52,150,2.5
64,1.001263,95,95.12,150,2.5
65,0.933725,102,95.24,150,2.5
66,1.085000,88,95.48,150,2.5
67,0.859099,111,95.36,150,2.5
68,0.961616,99,95.20,150,2.5
69,0.907429,105,95.28,150,2.5
70,0.888224,107,95.04,150,2.5
71,0.922330,103,95.00,150,2.5
72,1.047473,91,95.32,150,2.5
73,0.951200,100,95.12,150,2.5
74,0.935686,102,95.44,150,2.5
75,0.835439,114,95.24,150,2.5
76,0.913462,104,95.00,150,2.5
77,0.905524,105,95.08,150,2.5
78,1.015319,94,95.44,150,2.5
79,0.848571,112,95.04,150,2.5
80,1.002105,95,95.20,150,2.5
81,0.767097,124,95.12,150,2.5
82,0.979794,97,95.04,150,2.5
83,0.933725,102,95.24,150,2.5
84,0.896981,106,95.08,150,2.5
85,0.931373,102,95.00,150,2.5
86,0.960808,99,95.12,150,2.5
87,0.990417,96,95.08,150,2.5
88,1.022366,93,95.08,150,2.5
89,0.780984,122,95.28,150,2.5
90,1.047912,91,95.36,150,2.5
91,0.834386,114,95.12,150,2.5
92,1.048352,91,95.40,150,2.5
93,0.983505,97,95.40,150,2.5
94,0.933333,102,95.20,150,2.5
95,1.002105,95,95.20,150,2.5
96,0.896604,106,95.04,150,2.5
97,0.934510,102,95.32,150,2.5
98,0.925437,103,95.32,150,2.5
99,0.979381,97,95.00,150,2.5
100,1.000842,95,95.08,150,2.5
101,1.079545,88,95.00,150,2.5
102,0.906286,105,95.16,150,2.5
103,0.944554,101,95.40,150,2.5
104,0.872294,109,95.08,150,2.5
105,0.981031,97,95.16,150,2.5
106,0.925825,103,95.36,150,2.5
107,0.979381,97,95.00,150,2.5
108,0.880000,108,95.04,150,2.5
109,0.812650,117,95.08,150,2.5
110,0.881852,108,95.24,150,2.5
111,0.879630,108,95.00,150,2.5
112,0.945347,101,95.48,150,2.5
113,1.000842,95,95.08,150,2.5
114,0.850357,112,95.24,150,2.5
115,0.941386,101,95.08,150,2.5
116,1.000000,95,95.00,150,2.5
117,0.942970,101,95.24,150,2.5
118,0.898868,106,95.28,150,2.5
119,0.772683,123,95.04,150,2.5
120,1.011915,94,95.12,150,2.5
121,0.866182,110,95.28,150,2.5
122,0.888598,107,95.08,150,2.5
123,0.864727,110,95.12,150,2.5
124,0.913462,104,95.00,150,2.5
125,0.952000,100,95.20,150,2.5
126,0.950000,100,95.00,150,2.5
127,0.827130,115,95.12,150,2.5
128,0.940990,101,95.04,150,2.5
129,0.984330,97,95.48,150,2.5
130,0.933333,102,95.20,150,2.5
131,0.850714,112,95.28,150,2.5
132,1.000421,95,95.04,150,2.5
133,0.942970,101,95.24,150,2.5
134,0.979794,97,95.04,150,2.5
135,1.000421,95,95.04,150,2.5
136,0.960000,99,95.04,150,2.5
137,0.954000,100,95.40,150,2.5
138,1.023656,93,95.20,150,2.5
139,0.880000,108,95.04,150,2.5
140,0.908190,105,95.36,150,2.5
141,0.914615,104,95.12,150,2.5
142,0.896226,106,95.00,150,2.5
143,0.983918,97,95.44,150,2.5
144,0.913846,104,95.04,150,2.5
145,0.951600,100,95.16,150,2.5
146,1.062667,90,95.64,150,2.5
147,1.067416,89,95.00,150,2.5
148,0.820690,116,95.20,150,2.5
149,0.899623,106,95.36,150,2.5
150,1.080455,88,95.08,150,2.5
151,0.887850,107,95.00,150,2.5
152,0.952400,100,95.24,150,2.5
153,0.913846,104,95.04,150,2.5
154,0.792667,120,95.12,150,2.5
155,0.980206,97,95.08,150,2.5
156,0.693723,137,95.04,150,2.5
157,0.940990,101,95.04,150,2.5
158,0.914615,104,95.12,150,2.5
159,0.950000,100,95.00,150,2.5
160,0.942970,101,95.24,150,2.5
161,0.856937,111,95.12,150,2.5
162,0.971837,98,95.24,150,2.5
163,0.914231,104,95.08,150,2.5
164,0.836140,114,95.32,150,2.5
