trial,efficiency,steps,coverage_pct,agents,repulsion_g
1,1.863529,51,95.04,300,2
2,1.942041,49,95.16,300,2
3,1.533548,62,95.08,300,2
4,1.727273,55,95.00,300,2
5,1.439394,66,95.00,300,2
6,1.906400,50,95.32,300,2
7,2.026383,47,95.24,300,2
8,1.938776,49,95.00,300,2
9,1.865882,51,95.16,300,2
10,1.462154,65,95.04,300,2
11,1.610847,59,95.04,300,2
12,2.023830,47,95.12,300,2
13,1.836154,52,95.48,300,2
14,1.731636,55,95.24,300,2
15,1.732364,55,95.28,300,2
16,1.980833,48,95.08,300,2
17,1.534839,62,95.16,300,2
18,1.949388,49,95.52,300,2
19,1.728727,55,95.08,300,2
20,1.830000,52,95.16,300,2
21,1.537419,62,95.32,300,2
22,2.067826,46,95.12,300,2
23,1.730909,55,95.20,300,2
24,1.731636,55,95.24,300,2
25,2.161818,44,95.12,300,2
26,1.639310,58,95.08,300,2
27,1.762963,54,95.20,300,2
28,1.641379,58,95.20,300,2
29,1.759259,54,95.00,300,2
30,1.558689,61,95.08,300,2
31,1.867451,51,95.24,300,2
32,1.733818,55,95.36,300,2
33,1.829231,52,95.12,300,2
34,1.900000,50,95.00,300,2
35,1.940408,49,95.08,300,2
36,1.643448,58,95.32,300,2
37,1.533548,62,95.08,300,2
38,1.584667,60,95.08,300,2
39,2.067826,46,95.12,300,2
40,2.022128,47,95.04,300,2
41,1.829231,52,95.12,300,2
42,1.979167,48,95.00,300,2
43,1.868235,51,95.28,300,2
44,1.730182,55,95.16,300,2
45,1.587333,60,95.24,300,2
46,1.535484,62,95.20,300,2
47,1.982500,48,95.16,300,2
48,1.981667,48,95.12,300,2
49,1.942857,49,95.20,300,2
50,1.700000,56,95.20,300,2
51,1.792453,53,95.00,300,2
52,1.697857,56,95.08,300,2
53,1.945306,49,95.32,300,2
54,1.672982,57,95.36,300,2
55,1.796226,53,95.20,300,2
56,2.073043,46,95.36,300,2
57,1.511746,63,95.24,300,2
58,1.796981,53,95.24,300,2
59,1.760741,54,95.08,300,2
60,2.069565,46,95.20,300,2
61,1.910400,50,95.52,300,2
62,2.021277,47,95.00,300,2
63,1.942857,49,95.20,300,2
64,1.697857,56,95.08,300,2
65,1.981667,48,95.12,300,2
66,1.867451,51,95.24,300,2
67,1.536774,62,95.28,300,2
68,1.699286,56,95.16,300,2
69,1.794717,53,95.12,300,2
70,1.443030,66,95.24,300,2
71,1.765185,54,95.32,300,2
72,1.900000,50,95.00,300,2
73,1.762963,54,95.20,300,2
74,2.025532,47,95.20,300,2
75,1.668070,57,95.08,300,2
76,2.026383,47,95.24,300,2
77,1.642069,58,95.24,300,2
78,1.941224,49,95.12,300,2
79,1.560656,61,95.20,300,2
80,1.945306,49,95.32,300,2
81,1.730909,55,95.20,300,2
82,1.767407,54,95.44,300,2
83,1.832308,52,95.28,300,2
84,1.462154,65,95.04,300,2
85,1.728000,55,95.04,300,2
86,1.532258,62,95.00,300,2
87,2.070435,46,95.24,300,2
88,1.557377,61,95.00,300,2
89,1.640690,58,95.16,300,2
90,2.023830,47,95.12,300,2
91,1.983333,48,95.20,300,2
92,1.728727,55,95.08,300,2
93,1.828462,52,95.08,300,2
94,1.829231,52,95.12,300,2
95,2.067826,46,95.12,300,2
96,1.640000,58,95.12,300,2
97,1.401176,68,95.28,300,2
98,1.829231,52,95.12,300,2
99,1.865882,51,95.16,300,2
100,1.939592,49,95.04,300,2
101,1.670877,57,95.24,300,2
102,2.028085,47,95.32,300,2
103,1.465231,65,95.24,300,2
104,2.163636,44,95.20,300,2
105,1.666667,57,95.00,300,2
106,1.584667,60,95.08,300,2
107,1.764444,54,95.28,300,2
108,1.795472,53,95.16,300,2
109,1.904000,50,95.20,300,2
110,1.865882,51,95.16,300,2
111,1.900800,50,95.04,300,2
112,1.793208,53,95.04,300,2
113,1.584667,60,95.08,300,2
114,1.865098,51,95.12,300,2
115,1.700000,56,95.20,300,2
116,1.941224,49,95.12,300,2
117,1.909600,50,95.48,300,2
118,1.463385,65,95.12,300,2
119,1.792453,53,95.00,300,2
120,2.160909,44,95.08,300,2
121,2.021277,47,95.00,300,2
122,2.068696,46,95.16,300,2
123,1.863529,51,95.04,300,2
124,2.071304,46,95.28,300,2
125,2.068696,46,95.16,300,2
126,1.762963,54,95.20,300,2
127,1.510476,63,95.16,300,2
128,1.798491,53,95.32,300,2
129,1.793962,53,95.08,300,2
130,1.763704,54,95.24,300,2
131,1.763704,54,95.24,300,2
132,1.671579,57,95.28,300,2
133,1.830000,52,95.16,300,2
134,1.700714,56,95.24,300,2
135,1.612203,59,95.12,300,2
136,1.640690,58,95.16,300,2
137,1.587333,60,95.24,300,2
138,1.585333,60,95.12,300,2
139,1.796226,53,95.20,300,2
140,1.827692,52,95.04,300,2
141,1.904000,50,95.20,300,2
142,1.987500,48,95.40,300,2
143,1.830000,52,95.16,300,2
144,1.538710,62,95.40,300,2
145,2.066087,46,95.04,300,2
146,1.640000,58,95.12,300,2
147,1.637931,58,95.00,300,2
148,2.032340,47,95.52,300,2
149,2.023830,47,95.12,300,2
150,1.793208,53,95.04,300,2
151,1.534839,62,95.16,300,2
152,1.728727,55,95.08,300,2
153,1.794717,53,95.12,300,2
154,2.270476,42,95.36,300,2
155,1.569836,61,95.76,300,2
156,1.585333,60,95.12,300,2
157,1.900800,50,95.04,300,2
158,1.988333,48,95.44,300,2
159,1.697857,56,95.08,300,2
160,1.839231,52,95.64,300,2
161,1.637931,58,95.00,300,2
162,1.828462,52,95.08,300,2
163,2.030638,47,95.44,300,2
164,1.762222,54,95.16,300,2
165,1.612203,59,95.12,300,2
166,1.764444,54,95.28,300,2
167,1.638621,58,95.04,300,2
168,1.669474,57,95.16,300,2
169,2.120889,45,95.44,300,2
170,1.697143,56,95.04,300,2
171,1.728727,55,95.08,300,2
172,1.766667,54,95.40,300,2
173,1.612203,59,95.12,300,2
174,1.697143,56,95.04,300,2
175,1.792453,53,95.00,300,2
176,1.731636,55,95.24,300,2
177,1.588000,60,95.28,300,2
178,1.535484,62,95.20,300,2
179,1.612203,59,95.12,300,2
180,1.792453,53,95.00,300,2
181,1.939592,49,95.04,300,2
182,1.826923,52,95.00,300,2
183,1.442424,66,95.20,300,2
184,1.728727,55,95.08,300,2
185,2.065217,46,95.00,300,2
186,1.906400,50,95.32,300,2
187,1.796226,53,95.20,300,2
188,1.760741,54,95.08,300,2
189,1.826923,52,95.00,300,2
190,1.670175,57,95.20,300,2
191,1.730909,55,95.20,300,2
192,1.441818,66,95.16,300,2
193,1.611525,59,95.08,300,2
194,1.829231,52,95.12,300,2
195,1.696429,56,95.00,300,2
196,1.792453,53,95.00,300,2
197,1.796226,53,95.20,300,2
198,1.792453,53,95.00,300,2
199,1.731636,55,95.24,300,2
200,1.676491,57,95.56,300,2
201,1.902400,50,95.12,300,2
202,1.940408,49,95.08,300,2
203,1.830769,52,95.20,300,2
204,1.667368,57,95.04,300,2
205,1.703571,56,95.40,300,2
206,2.068696,46,95.16,300,2
207,1.759259,54,95.00,300,2
208,1.728727,55,95.08,300,2
209,1.942041,49,95.16,300,2
210,1.761481,54,95.12,300,2
211,1.759259,54,95.00,300,2
212,1.640690,58,95.16,300,2
213,1.611525,59,95.08,300,2
214,1.980000,48,95.04,300,2
215,1.697143,56,95.04,300,2
216,1.612881,59,95.16,300,2
217,1.942857,49,95.20,300,2
218,1.761481,54,95.12,300,2
219,1.558689,61,95.08,300,2
220,1.833077,52,95.32,300,2
221,1.940408,49,95.08,300,2
222,1.508571,63,95.04,300,2
223,1.900000,50,95.00,300,2
224,1.511111,63,95.20,300,2
225,1.863529,51,95.04,300,2
226,1.700000,56,95.20,300,2
227,1.867451,51,95.24,300,2
228,1.532258,62,95.00,300,2
229,1.640000,58,95.12,300,2
230,1.667368,57,95.04,300,2
231,2.324878,41,95.32,300,2
232,1.729455,55,95.12,300,2
233,1.730909,55,95.20,300,2
234,1.939592,49,95.04,300,2
235,1.938776,49,95.00,300,2
236,1.666667,57,95.00,300,2
237,1.532903,62,95.04,300,2
238,1.903200,50,95.16,300,2
239,1.904000,50,95.20,300,2
240,2.028936,47,95.36,300,2
241,1.945306,49,95.32,300,2
242,1.796226,53,95.20,300,2
243,1.638621,58,95.04,300,2
244,1.905600,50,95.28,300,2
245,1.830000,52,95.16,300,2
246,1.910400,50,95.52,300,2
247,1.827692,52,95.04,300,2
248,1.869020,51,95.32,300,2
249,1.638621,58,95.04,300,2
250,1.560000,61,95.16,300,2
251,1.727273,55,95.00,300,2
252,1.863529,51,95.04,300,2
253,1.941224,49,95.12,300,2
254,1.760741,54,95.08,300,2
255,1.669474,57,95.16,300,2
256,1.828462,52,95.08,300,2
257,1.904000,50,95.20,300,2
258,1.358286,70,95.08,300,2
259,1.616271,59,95.36,300,2
260,2.164545,44,95.24,300,2
261,1.980833,48,95.08,300,2
262,1.829231,52,95.12,300,2
263,2.022128,47,95.04,300,2
264,2.071304,46,95.28,300,2
265,1.830000,52,95.16,300,2
266,1.583333,60,95.00,300,2
267,1.792453,53,95.00,300,2
268,1.559344,61,95.12,300,2
269,1.865882,51,95.16,300,2
270,1.760741,54,95.08,300,2
271,1.728727,55,95.08,300,2
272,1.534194,62,95.12,300,2
273,1.903200,50,95.16,300,2
274,2.216744,43,95.32,300,2
275,1.865882,51,95.16,300,2
276,1.762963,54,95.20,300,2
277,1.835385,52,95.44,300,2
278,2.116444,45,95.24,300,2
279,1.509841,63,95.12,300,2
280,1.900000,50,95.00,300,2
281,1.905600,50,95.28,300,2
282,1.532258,62,95.00,300,2
283,1.907200,50,95.36,300,2
284,2.024681,47,95.16,300,2
285,2.068696,46,95.16,300,2
286,1.986667,48,95.36,300,2
287,1.671579,57,95.28,300,2
288,1.614237,59,95.24,300,2
289,2.028936,47,95.36,300,2
290,1.305205,73,95.28,300,2
291,1.979167,48,95.00,300,2
292,2.112889,45,95.08,300,2
293,1.733818,55,95.36,300,2
294,1.793962,53,95.08,300,2
295,1.796981,53,95.24,300,2
296,1.509841,63,95.12,300,2
297,2.021277,47,95.00,300,2
298,1.939592,49,95.04,300,2
299,1.730909,55,95.20,300,2
