trial,efficiency,steps,coverage_pct,agents,repulsion_g,momentum,scan_radius
1,1.830769,52,95.20,300,1.5,0.88,5
2,1.668070,57,95.08,300,1.5,0.88,5
3,1.795472,53,95.16,300,1.5,0.88,5
4,1.826923,52,95.00,300,1.5,0.88,5
5,1.868235,51,95.28,300,1.5,0.88,5
6,1.697143,56,95.04,300,1.5,0.88,5
7,1.760000,54,95.04,300,1.5,0.88,5
8,1.944490,49,95.28,300,1.5,0.88,5
9,1.906400,50,95.32,300,1.5,0.88,5
10,1.980833,48,95.08,300,1.5,0.88,5
11,1.338592,71,95.04,300,1.5,0.88,5
12,1.827692,52,95.04,300,1.5,0.88,5
13,2.073913,46,95.40,300,1.5,0.88,5
14,1.732364,55,95.28,300,1.5,0.88,5
15,1.760000,54,95.04,300,1.5,0.88,5
16,1.763704,54,95.24,300,1.5,0.88,5
17,1.902400,50,95.12,300,1.5,0.88,5
18,1.826923,52,95.00,300,1.5,0.88,5
19,1.946939,49,95.40,300,1.5,0.88,5
20,1.982500,48,95.16,300,1.5,0.88,5
21,1.793962,53,95.08,300,1.5,0.88,5
22,1.946122,49,95.36,300,1.5,0.88,5
23,1.800000,53,95.40,300,1.5,0.88,5
24,1.942857,49,95.20,300,1.5,0.88,5
25,2.070435,46,95.24,300,1.5,0.88,5
26,2.032340,47,95.52,300,1.5,0.88,5
27,1.908800,50,95.44,300,1.5,0.88,5
28,1.864314,51,95.08,300,1.5,0.88,5
29,1.866667,51,95.20,300,1.5,0.88,5
30,2.067826,46,95.12,300,1.5,0.88,5
31,1.908800,50,95.44,300,1.5,0.88,5
32,1.939592,49,95.04,300,1.5,0.88,5
33,1.900000,50,95.00,300,1.5,0.88,5
34,2.073913,46,95.40,300,1.5,0.88,5
35,1.946122,49,95.36,300,1.5,0.88,5
36,1.700000,56,95.20,300,1.5,0.88,5
37,1.677193,57,95.60,300,1.5,0.88,5
38,2.068696,46,95.16,300,1.5,0.88,5
39,1.938776,49,95.00,300,1.5,0.88,5
40,1.868235,51,95.28,300,1.5,0.88,5
41,1.670175,57,95.20,300,1.5,0.88,5
42,1.872157,51,95.48,300,1.5,0.88,5
43,1.870588,51,95.40,300,1.5,0.88,5
44,1.947755,49,95.44,300,1.5,0.88,5
45,1.993333,48,95.68,300,1.5,0.88,5
46,1.865098,51,95.12,300,1.5,0.88,5
47,1.905600,50,95.28,300,1.5,0.88,5
48,1.980833,48,95.08,300,1.5,0.88,5
49,1.700000,56,95.20,300,1.5,0.88,5
50,1.486250,64,95.12,300,1.5,0.88,5
51,1.666667,57,95.00,300,1.5,0.88,5
52,1.732364,55,95.28,300,1.5,0.88,5
53,2.169091,44,95.44,300,1.5,0.88,5
54,1.830769,52,95.20,300,1.5,0.88,5
55,1.700714,56,95.24,300,1.5,0.88,5
56,1.640690,58,95.16,300,1.5,0.88,5
57,1.797736,53,95.28,300,1.5,0.88,5
58,2.162727,44,95.16,300,1.5,0.88,5
59,1.863529,51,95.04,300,1.5,0.88,5
60,1.697857,56,95.08,300,1.5,0.88,5
61,1.902400,50,95.12,300,1.5,0.88,5
62,1.734545,55,95.40,300,1.5,0.88,5
63,1.731636,55,95.24,300,1.5,0.88,5
64,1.759259,54,95.00,300,1.5,0.88,5
65,1.696429,56,95.00,300,1.5,0.88,5
66,1.670175,57,95.20,300,1.5,0.88,5
67,1.869804,51,95.36,300,1.5,0.88,5
68,1.797736,53,95.28,300,1.5,0.88,5
69,1.869020,51,95.32,300,1.5,0.88,5
70,1.673684,57,95.40,300,1.5,0.88,5
71,1.904800,50,95.24,300,1.5,0.88,5
72,1.901600,50,95.08,300,1.5,0.88,5
73,1.941224,49,95.12,300,1.5,0.88,5
74,1.696429,56,95.00,300,1.5,0.88,5
75,1.612881,59,95.16,300,1.5,0.88,5
76,1.532903,62,95.04,300,1.5,0.88,5
77,1.765185,54,95.32,300,1.5,0.88,5
78,1.739636,55,95.68,300,1.5,0.88,5
79,1.763704,54,95.24,300,1.5,0.88,5
80,1.532258,62,95.00,300,1.5,0.88,5
81,1.900000,50,95.00,300,1.5,0.88,5
82,1.872157,51,95.48,300,1.5,0.88,5
