trial,efficiency,steps,coverage_pct,agents,repulsion_g,momentum,scan_radius
1,2.319024,41,95.08,300,1.5,0.95,5
2,2.021277,47,95.00,300,1.5,0.95,5
3,2.272381,42,95.44,300,1.5,0.95,5
4,2.396000,40,95.84,300,1.5,0.95,5
5,2.211163,43,95.08,300,1.5,0.95,5
6,2.447179,39,95.44,300,1.5,0.95,5
7,2.262857,42,95.04,300,1.5,0.95,5
8,2.505263,38,95.20,300,1.5,0.95,5
9,2.167273,44,95.36,300,1.5,0.95,5
10,2.500000,38,95.00,300,1.5,0.95,5
11,2.502105,38,95.08,300,1.5,0.95,5
12,2.217674,43,95.36,300,1.5,0.95,5
13,2.437949,39,95.08,300,1.5,0.95,5
14,2.382000,40,95.28,300,1.5,0.95,5
15,2.642222,36,95.12,300,1.5,0.95,5
16,2.440000,39,95.16,300,1.5,0.95,5
17,2.435897,39,95.00,300,1.5,0.95,5
18,2.644444,36,95.20,300,1.5,0.95,5
19,2.323902,41,95.28,300,1.5,0.95,5
20,2.504211,38,95.16,300,1.5,0.95,5
21,2.651111,36,95.44,300,1.5,0.95,5
22,2.068696,46,95.16,300,1.5,0.95,5
23,2.506316,38,95.24,300,1.5,0.95,5
24,2.318049,41,95.04,300,1.5,0.95,5
25,2.384000,40,95.36,300,1.5,0.95,5
26,2.437949,39,95.08,300,1.5,0.95,5
27,2.386000,40,95.44,300,1.5,0.95,5
28,2.380000,40,95.20,300,1.5,0.95,5
29,2.440000,39,95.16,300,1.5,0.95,5
30,2.443077,39,95.28,300,1.5,0.95,5
31,2.022979,47,95.08,300,1.5,0.95,5
32,2.217674,43,95.36,300,1.5,0.95,5
33,2.438974,39,95.12,300,1.5,0.95,5
34,2.447179,39,95.44,300,1.5,0.95,5
35,2.508421,38,95.32,300,1.5,0.95,5
36,2.442051,39,95.24,300,1.5,0.95,5
37,2.211163,43,95.08,300,1.5,0.95,5
38,2.501053,38,95.04,300,1.5,0.95,5
39,2.436923,39,95.04,300,1.5,0.95,5
40,2.569730,37,95.08,300,1.5,0.95,5
41,2.115556,45,95.20,300,1.5,0.95,5
42,2.721143,35,95.24,300,1.5,0.95,5
43,2.214884,43,95.24,300,1.5,0.95,5
44,2.318049,41,95.04,300,1.5,0.95,5
45,2.322927,41,95.24,300,1.5,0.95,5
46,2.160000,44,95.04,300,1.5,0.95,5
47,2.438974,39,95.12,300,1.5,0.95,5
48,2.113778,45,95.12,300,1.5,0.95,5
49,2.884848,33,95.20,300,1.5,0.95,5
50,2.509474,38,95.36,300,1.5,0.95,5
51,2.375000,40,95.00,300,1.5,0.95,5
52,2.380000,40,95.20,300,1.5,0.95,5
53,2.319024,41,95.08,300,1.5,0.95,5
54,2.643333,36,95.16,300,1.5,0.95,5
55,2.646667,36,95.28,300,1.5,0.95,5
56,2.435897,39,95.00,300,1.5,0.95,5
57,2.217674,43,95.36,300,1.5,0.95,5
58,2.509474,38,95.36,300,1.5,0.95,5
59,2.376000,40,95.04,300,1.5,0.95,5
60,2.508421,38,95.32,300,1.5,0.95,5
61,2.506316,38,95.24,300,1.5,0.95,5
62,2.718857,35,95.16,300,1.5,0.95,5
63,2.509474,38,95.36,300,1.5,0.95,5
64,2.717714,35,95.12,300,1.5,0.95,5
65,2.168182,44,95.40,300,1.5,0.95,5
66,2.212093,43,95.12,300,1.5,0.95,5
67,2.644444,36,95.20,300,1.5,0.95,5
68,2.501053,38,95.04,300,1.5,0.95,5
69,2.508421,38,95.32,300,1.5,0.95,5
70,2.378000,40,95.12,300,1.5,0.95,5
71,2.386000,40,95.44,300,1.5,0.95,5
72,2.167273,44,95.36,300,1.5,0.95,5
73,2.646667,36,95.28,300,1.5,0.95,5
74,2.651111,36,95.44,300,1.5,0.95,5
75,2.506316,38,95.24,300,1.5,0.95,5
76,2.716571,35,95.08,300,1.5,0.95,5
77,1.864314,51,95.08,300,1.5,0.95,5
78,2.263810,42,95.08,300,1.5,0.95,5
79,2.511579,38,95.44,300,1.5,0.95,5
80,2.322927,41,95.24,300,1.5,0.95,5
81,2.574054,37,95.24,300,1.5,0.95,5
82,2.318049,41,95.04,300,1.5,0.95,5
83,2.381000,40,95.24,300,1.5,0.95,5
84,2.319024,41,95.08,300,1.5,0.95,5
85,2.640000,36,95.04,300,1.5,0.95,5
86,2.323902,41,95.28,300,1.5,0.95,5
87,2.263810,42,95.08,300,1.5,0.95,5
88,2.160909,44,95.08,300,1.5,0.95,5
89,2.267619,42,95.24,300,1.5,0.95,5
90,2.645556,36,95.24,300,1.5,0.95,5
91,2.581622,37,95.52,300,1.5,0.95,5
92,2.384000,40,95.36,300,1.5,0.95,5
93,2.438974,39,95.12,300,1.5,0.95,5
94,2.378000,40,95.12,300,1.5,0.95,5
95,2.721143,35,95.24,300,1.5,0.95,5
96,2.448205,39,95.48,300,1.5,0.95,5
97,2.381000,40,95.24,300,1.5,0.95,5
98,2.065217,46,95.00,300,1.5,0.95,5
99,2.647778,36,95.32,300,1.5,0.95,5
100,2.381000,40,95.24,300,1.5,0.95,5
101,2.112889,45,95.08,300,1.5,0.95,5
102,2.578378,37,95.40,300,1.5,0.95,5
103,2.216744,43,95.32,300,1.5,0.95,5
104,2.159091,44,95.00,300,1.5,0.95,5
105,2.386000,40,95.44,300,1.5,0.95,5
106,2.436923,39,95.04,300,1.5,0.95,5
107,2.438974,39,95.12,300,1.5,0.95,5
108,2.379000,40,95.16,300,1.5,0.95,5
109,2.376000,40,95.04,300,1.5,0.95,5
110,2.379000,40,95.16,300,1.5,0.95,5
111,2.441026,39,95.20,300,1.5,0.95,5
112,2.265714,42,95.16,300,1.5,0.95,5
113,2.320976,41,95.16,300,1.5,0.95,5
114,2.507368,38,95.28,300,1.5,0.95,5
115,2.508421,38,95.32,300,1.5,0.95,5
116,2.266667,42,95.20,300,1.5,0.95,5
117,2.280952,42,95.80,300,1.5,0.95,5
118,2.324878,41,95.32,300,1.5,0.95,5
119,2.379000,40,95.16,300,1.5,0.95,5
120,2.022128,47,95.04,300,1.5,0.95,5
