trial,efficiency,steps,coverage_pct,agents,repulsion_g,momentum,scan_radius
1,0.864727,110,95.12,300,1.5,0.75,5
2,0.879630,108,95.00,300,1.5,0.75,5
3,1.000000,95,95.00,300,1.5,0.75,5
4,1.003368,95,95.32,300,1.5,0.75,5
5,0.941782,101,95.12,300,1.5,0.75,5
6,1.081364,88,95.16,300,1.5,0.75,5
7,1.012766,94,95.20,300,1.5,0.75,5
8,0.971020,98,95.16,300,1.5,0.75,5
9,0.913846,104,95.04,300,1.5,0.75,5
10,0.971429,98,95.20,300,1.5,0.75,5
11,0.954800,100,95.48,300,1.5,0.75,5
12,1.045714,91,95.16,300,1.5,0.75,5
13,0.982268,97,95.28,300,1.5,0.75,5
14,1.080000,88,95.04,300,1.5,0.75,5
15,0.959596,99,95.00,300,1.5,0.75,5
16,0.979381,97,95.00,300,1.5,0.75,5
17,1.011915,94,95.12,300,1.5,0.75,5
18,0.950400,100,95.04,300,1.5,0.75,5
19,0.941782,101,95.12,300,1.5,0.75,5
20,0.880370,108,95.08,300,1.5,0.75,5
21,0.940990,101,95.04,300,1.5,0.75,5
22,0.933725,102,95.24,300,1.5,0.75,5
23,0.914615,104,95.12,300,1.5,0.75,5
24,0.971837,98,95.24,300,1.5,0.75,5
25,1.046154,91,95.20,300,1.5,0.75,5
26,0.979381,97,95.00,300,1.5,0.75,5
27,0.863636,110,95.00,300,1.5,0.75,5
28,0.992500,96,95.28,300,1.5,0.75,5
29,1.001684,95,95.16,300,1.5,0.75,5
30,1.044835,91,95.08,300,1.5,0.75,5
31,0.889720,107,95.20,300,1.5,0.75,5
32,0.990833,96,95.12,300,1.5,0.75,5
33,0.914231,104,95.08,300,1.5,0.75,5
34,0.898113,106,95.20,300,1.5,0.75,5
35,1.046154,91,95.20,300,1.5,0.75,5
36,1.001684,95,95.16,300,1.5,0.75,5
37,0.953200,100,95.32,300,1.5,0.75,5
38,1.021505,93,95.00,300,1.5,0.75,5
39,0.922330,103,95.00,300,1.5,0.75,5
40,0.924272,103,95.20,300,1.5,0.75,5
41,0.942178,101,95.16,300,1.5,0.75,5
42,0.979381,97,95.00,300,1.5,0.75,5
43,0.969796,98,95.04,300,1.5,0.75,5
44,0.951200,100,95.12,300,1.5,0.75,5
45,0.819310,116,95.04,300,1.5,0.75,5
46,0.979381,97,95.00,300,1.5,0.75,5
47,0.950000,100,95.00,300,1.5,0.75,5
48,1.095172,87,95.28,300,1.5,0.75,5
49,1.068764,89,95.12,300,1.5,0.75,5
50,0.931373,102,95.00,300,1.5,0.75,5
51,1.011915,94,95.12,300,1.5,0.75,5
52,0.981443,97,95.20,300,1.5,0.75,5
53,1.056889,90,95.12,300,1.5,0.75,5
54,0.932941,102,95.16,300,1.5,0.75,5
55,0.864364,110,95.08,300,1.5,0.75,5
56,1.000000,95,95.00,300,1.5,0.75,5
57,0.971837,98,95.24,300,1.5,0.75,5
58,0.969388,98,95.00,300,1.5,0.75,5
59,0.981856,97,95.24,300,1.5,0.75,5
60,0.942178,101,95.16,300,1.5,0.75,5
61,0.848214,112,95.00,300,1.5,0.75,5
62,0.940594,101,95.00,300,1.5,0.75,5
63,0.950000,100,95.00,300,1.5,0.75,5
64,0.933725,102,95.24,300,1.5,0.75,5
65,1.056444,90,95.08,300,1.5,0.75,5
66,0.931373,102,95.00,300,1.5,0.75,5
67,0.932941,102,95.16,300,1.5,0.75,5
68,1.010638,94,95.00,300,1.5,0.75,5
69,1.033043,92,95.04,300,1.5,0.75,5
70,1.067865,89,95.04,300,1.5,0.75,5
71,0.961212,99,95.16,300,1.5,0.75,5
72,0.950400,100,95.04,300,1.5,0.75,5
73,1.011915,94,95.12,300,1.5,0.75,5
74,1.012766,94,95.20,300,1.5,0.75,5
75,0.990417,96,95.08,300,1.5,0.75,5
76,1.132381,84,95.12,300,1.5,0.75,5
77,0.940990,101,95.04,300,1.5,0.75,5
78,1.002105,95,95.20,300,1.5,0.75,5
79,0.990833,96,95.12,300,1.5,0.75,5
80,0.924272,103,95.20,300,1.5,0.75,5
81,0.864727,110,95.12,300,1.5,0.75,5
82,0.932157,102,95.08,300,1.5,0.75,5
83,0.980206,97,95.08,300,1.5,0.75,5
84,0.960000,99,95.04,300,1.5,0.75,5
85,1.024086,93,95.24,300,1.5,0.75,5
86,1.092874,87,95.08,300,1.5,0.75,5
87,0.980619,97,95.12,300,1.5,0.75,5
88,0.990417,96,95.08,300,1.5,0.75,5
89,1.080000,88,95.04,300,1.5,0.75,5
90,0.991667,96,95.20,300,1.5,0.75,5
91,0.913462,104,95.00,300,1.5,0.75,5
92,0.922330,103,95.00,300,1.5,0.75,5
93,0.970204,98,95.08,300,1.5,0.75,5
94,1.035652,92,95.28,300,1.5,0.75,5
95,1.002526,95,95.24,300,1.5,0.75,5
96,1.047033,91,95.28,300,1.5,0.75,5
97,0.991667,96,95.20,300,1.5,0.75,5
98,0.971429,98,95.20,300,1.5,0.75,5
99,0.905524,105,95.08,300,1.5,0.75,5
100,0.913462,104,95.00,300,1.5,0.75,5
101,1.035217,92,95.24,300,1.5,0.75,5
102,0.873028,109,95.16,300,1.5,0.75,5
103,1.001684,95,95.16,300,1.5,0.75,5
104,0.971020,98,95.16,300,1.5,0.75,5
105,0.941386,101,95.08,300,1.5,0.75,5
106,0.896604,106,95.04,300,1.5,0.75,5
107,1.001263,95,95.12,300,1.5,0.75,5
108,0.880370,108,95.08,300,1.5,0.75,5
109,0.989583,96,95.00,300,1.5,0.75,5
110,0.933725,102,95.24,300,1.5,0.75,5
111,0.960404,99,95.08,300,1.5,0.75,5
112,0.940990,101,95.04,300,1.5,0.75,5
113,0.880741,108,95.12,300,1.5,0.75,5
114,0.887850,107,95.00,300,1.5,0.75,5
115,0.743125,128,95.12,300,1.5,0.75,5
116,0.932157,102,95.08,300,1.5,0.75,5
117,1.105581,86,95.08,300,1.5,0.75,5
118,0.990000,96,95.04,300,1.5,0.75,5
119,0.943366,101,95.28,300,1.5,0.75,5
120,0.871560,109,95.00,300,1.5,0.75,5
121,1.011064,94,95.04,300,1.5,0.75,5
122,1.044396,91,95.04,300,1.5,0.75,5
123,0.960000,99,95.04,300,1.5,0.75,5
124,1.083182,88,95.32,300,1.5,0.75,5
125,0.969388,98,95.00,300,1.5,0.75,5
126,0.812650,117,95.08,300,1.5,0.75,5
127,0.932157,102,95.08,300,1.5,0.75,5
128,0.898113,106,95.20,300,1.5,0.75,5
129,1.071461,89,95.36,300,1.5,0.75,5
130,0.906286,105,95.16,300,1.5,0.75,5
131,0.864000,110,95.04,300,1.5,0.75,5
132,1.001263,95,95.12,300,1.5,0.75,5
133,0.960000,99,95.04,300,1.5,0.75,5
134,0.982268,97,95.28,300,1.5,0.75,5
135,0.879630,108,95.00,300,1.5,0.75,5
136,1.011064,94,95.04,300,1.5,0.75,5
137,0.874128,109,95.28,300,1.5,0.75,5
138,0.940594,101,95.00,300,1.5,0.75,5
139,1.003368,95,95.32,300,1.5,0.75,5
140,0.898491,106,95.24,300,1.5,0.75,5
141,0.841062,113,95.04,300,1.5,0.75,5
142,1.104651,86,95.00,300,1.5,0.75,5
143,0.960000,99,95.04,300,1.5,0.75,5
144,0.983093,97,95.36,300,1.5,0.75,5
145,0.760960,125,95.12,300,1.5,0.75,5
146,1.035652,92,95.28,300,1.5,0.75,5
147,0.982268,97,95.28,300,1.5,0.75,5
148,0.951200,100,95.12,300,1.5,0.75,5
149,1.000842,95,95.08,300,1.5,0.75,5
150,0.864000,110,95.04,300,1.5,0.75,5
151,0.992083,96,95.24,300,1.5,0.75,5
152,1.055556,90,95.00,300,1.5,0.75,5
153,0.896981,106,95.08,300,1.5,0.75,5
154,0.843540,113,95.32,300,1.5,0.75,5
155,0.962020,99,95.24,300,1.5,0.75,5
156,0.923883,103,95.16,300,1.5,0.75,5
157,1.080455,88,95.08,300,1.5,0.75,5
158,0.979794,97,95.04,300,1.5,0.75,5
159,0.941386,101,95.08,300,1.5,0.75,5
160,0.881111,108,95.16,300,1.5,0.75,5
161,0.813333,117,95.16,300,1.5,0.75,5
162,0.896981,106,95.08,300,1.5,0.75,5
163,1.011489,94,95.08,300,1.5,0.75,5
164,0.960808,99,95.12,300,1.5,0.75,5
165,0.906667,105,95.20,300,1.5,0.75,5
166,1.044835,91,95.08,300,1.5,0.75,5
167,0.991667,96,95.20,300,1.5,0.75,5
168,0.950000,100,95.00,300,1.5,0.75,5
169,1.044396,91,95.04,300,1.5,0.75,5
170,1.012340,94,95.16,300,1.5,0.75,5
171,0.924272,103,95.20,300,1.5,0.75,5
172,0.931765,102,95.04,300,1.5,0.75,5
173,0.953200,100,95.32,300,1.5,0.75,5
174,0.971429,98,95.20,300,1.5,0.75,5
175,0.849643,112,95.16,300,1.5,0.75,5
176,0.981031,97,95.16,300,1.5,0.75,5
177,0.991250,96,95.16,300,1.5,0.75,5
178,1.043956,91,95.00,300,1.5,0.75,5
179,0.941782,101,95.12,300,1.5,0.75,5
180,0.960404,99,95.08,300,1.5,0.75,5
181,1.033043,92,95.04,300,1.5,0.75,5
182,1.033043,92,95.04,300,1.5,0.75,5
183,0.980619,97,95.12,300,1.5,0.75,5
184,0.888598,107,95.08,300,1.5,0.75,5
185,0.970612,98,95.12,300,1.5,0.75,5
186,0.972245,98,95.28,300,1.5,0.75,5
187,1.044835,91,95.08,300,1.5,0.75,5
188,0.923495,103,95.12,300,1.5,0.75,5
189,0.932549,102,95.12,300,1.5,0.75,5
190,0.888598,107,95.08,300,1.5,0.75,5
191,0.960000,99,95.04,300,1.5,0.75,5
192,0.820345,116,95.16,300,1.5,0.75,5
193,0.981031,97,95.16,300,1.5,0.75,5
194,1.104651,86,95.00,300,1.5,0.75,5
195,0.962020,99,95.24,300,1.5,0.75,5
196,0.960404,99,95.08,300,1.5,0.75,5
197,1.045275,91,95.12,300,1.5,0.75,5
198,1.033478,92,95.08,300,1.5,0.75,5
199,0.969796,98,95.04,300,1.5,0.75,5
200,1.034348,92,95.16,300,1.5,0.75,5
201,1.002105,95,95.20,300,1.5,0.75,5
202,1.033043,92,95.04,300,1.5,0.75,5
203,1.046593,91,95.24,300,1.5,0.75,5
204,1.044396,91,95.04,300,1.5,0.75,5
205,0.942970,101,95.24,300,1.5,0.75,5
206,1.012340,94,95.16,300,1.5,0.75,5
207,0.856577,111,95.08,300,1.5,0.75,5
208,1.012340,94,95.16,300,1.5,0.75,5
209,1.023656,93,95.20,300,1.5,0.75,5
210,1.067865,89,95.04,300,1.5,0.75,5
211,0.940594,101,95.00,300,1.5,0.75,5
212,1.033043,92,95.04,300,1.5,0.75,5
213,1.001684,95,95.16,300,1.5,0.75,5
214,1.001684,95,95.16,300,1.5,0.75,5
215,0.913462,104,95.00,300,1.5,0.75,5
216,1.093333,87,95.12,300,1.5,0.75,5
217,0.980619,97,95.12,300,1.5,0.75,5
218,0.915000,104,95.16,300,1.5,0.75,5
